out
11.0
15.0
10.0
19.0
24.0
10.0
10.0
11.0
16.0
10.0
4.0
11.0
13.0
9.0
17.0
15.0
15.0
19.0
15.0
6.0
13.0
20.0
34.0
12.0
36.0
21.0
17.0
16.0
22.0
22.0
24.0
7.0
33.0
24.0
21.0
12.0
5.0
51.0
29.0
15.0
8.0
18.0
74.0
8.0
18.0
16.0
10.0
19.0
12.0
5.0
11.0
8.0
11.0
19.0
6.0
2.0
26.0
18.0
10.0
10.0
17.0
75.0
38.0
6.0
10.0
13.0
26.0
37.0
22.0
10.0
10.0
83.0
12.0
15.0
16.0
17.0
6.0
18.0
15.0
6.0
10.0
9.0
8.0
18.0
16.0
8.0
13.0
10.0
10.0
15.0
14.0
19.0
15.0
15.0
13.0
15.0
8.0
16.0
11.0
11.0
10.0
2.0
13.0
2.0
12.0
17.0
48.0
29.0
13.0
8.0
27.0
18.0
7.0
30.0
12.0
23.0
5.0
18.0
8.0
10.0
11.0
21.0
8.0
14.0
24.0
10.0
17.0
8.0
8.0
13.0
6.0
24.0
2.0
62.0
29.0
13.0
8.0
15.0
12.0
12.0
13.0
19.0
10.0
16.0
10.0
19.0
76.0
15.0
6.0
14.0
10.0
11.0
16.0
10.0
6.0
16.0
16.0
21.0
13.0
12.0
17.0
80.0
10.0
9.0
14.0
14.0
12.0
4.0
7.0
4.0
6.0
15.0
4.0
13.0
14.0
17.0
4.0
20.0
28.0
28.0
15.0
8.0
17.0
11.0
12.0
32.0
13.0
12.0
22.0
12.0
15.0
22.0
8.0
10.0
36.0
11.0
12.0
13.0
13.0
7.0
14.0
4.0
13.0
15.0
17.0
2.0
24.0
76.0
12.0
75.0
6.0
23.0
12.0
19.0
6.0
28.0
44.0
17.0
8.0
15.0
19.0
40.0
8.0
8.0
8.0
15.0
6.0
25.0
11.0
2.0
6.0
14.0
10.0
11.0
8.0
19.0
8.0
13.0
12.0
13.0
6.0
30.0
7.0
14.0
15.0
35.0
39.0
12.0
12.0
2.0
16.0
12.0
10.0
12.0
11.0
25.0
8.0
18.0
24.0
23.0
10.0
54.0
16.0
21.0
9.0
17.0
12.0
19.0
8.0
16.0
35.0
9.0
12.0
14.0
25.0
32.0
2.0
15.0
29.0
19.0
20.0
13.0
2.0
14.0
16.0
10.0
10.0
11.0
11.0
9.0
10.0
8.0
12.0
10.0
30.0
10.0
15.0
12.0
6.0
11.0
10.0
9.0
12.0
15.0
19.0
24.0
8.0
23.0
22.0
16.0
14.0
42.0
19.0
13.0
13.0
16.0
14.0
11.0
13.0
9.0
11.0
78.0
12.0
2.0
76.0
6.0
13.0
8.0
10.0
10.0
22.0
15.0
32.0
9.0
8.0
13.0
6.0
12.0
23.0
18.0
16.0
8.0
15.0
6.0
17.0
79.0
79.0
24.0
15.0
12.0
15.0
10.0
9.0
80.0
35.0
15.0
19.0
22.0
4.0
15.0
13.0
22.0
4.0
24.0
4.0
13.0
18.0
11.0
82.0
11.0
16.0
20.0
10.0
43.0
13.0
10.0
10.0
14.0
23.0
8.0
7.0
6.0
8.0
13.0
6.0
28.0
17.0
29.0
17.0
10.0
27.0
36.0
11.0
21.0
33.0
31.0
33.0
14.0
10.0
12.0
13.0
17.0
12.0
14.0
8.0
13.0
12.0
8.0
25.0
77.0
8.0
14.0
20.0
10.0
44.0
9.0
21.0
12.0
6.0
4.0
4.0
12.0
18.0
8.0
10.0
9.0
10.0
17.0
73.0
13.0
13.0
10.0
6.0
15.0
10.0
13.0
12.0
18.0
22.0
13.0
13.0
21.0
4.0
26.0
11.0
12.0
23.0
21.0
10.0
16.0
73.0
17.0
13.0
14.0
16.0
4.0
13.0
10.0
10.0
13.0
15.0
12.0
4.0
13.0
10.0
11.0
60.0
6.0
8.0
16.0
15.0
14.0
25.0
17.0
9.0
13.0
21.0
15.0
33.0
4.0
8.0
15.0
13.0
54.0
11.0
77.0
20.0
6.0
10.0
17.0
8.0
2.0
15.0
35.0
12.0
4.0
9.0
8.0
8.0
29.0
11.0
14.0
14.0
9.0
8.0
10.0
8.0
15.0
27.0
11.0
9.0
17.0
12.0
10.0
10.0
17.0
24.0
12.0
8.0
10.0
10.0
20.0
30.0
13.0
8.0
13.0
8.0
12.0
10.0
8.0
21.0
11.0
29.0
8.0
68.0
11.0
12.0
10.0
47.0
10.0
18.0
12.0
10.0
10.0
9.0
15.0
13.0
77.0
14.0
9.0
15.0
4.0
34.0
11.0
16.0
6.0
12.0
16.0
12.0
10.0
8.0
13.0
11.0
8.0
9.0
66.0
20.0
12.0
12.0
28.0
4.0
22.0
19.0
10.0
10.0
9.0
14.0
11.0
17.0
15.0
17.0
18.0
20.0
6.0
20.0
16.0
6.0
15.0
4.0
10.0
21.0
13.0
28.0
8.0
16.0
8.0
23.0
12.0
17.0
12.0
10.0
29.0
2.0
22.0
38.0
8.0
15.0
10.0
12.0
16.0
6.0
10.0
8.0
10.0
11.0
15.0
6.0
19.0
11.0
4.0
10.0
19.0
76.0
14.0
14.0
32.0
10.0
13.0
15.0
22.0
7.0
29.0
76.0
6.0
40.0
13.0
19.0
12.0
8.0
11.0
50.0
20.0
14.0
18.0
10.0
4.0
12.0
45.0
15.0
7.0
13.0
