Iref,0 Ex,0 Ey,1 Ex,1 Ey,2 Ex,2 Ey,3 Ex,3 Ey,4 Ex,4 Ey,5 Ex,5 Ey,6 Ex,6 Ey,7 Ex,7 Ey,8 Ex,8 Ey,9 Ex,9 Ey
2200000.0,(-0.15504839432490533+0.0003907062608625514j),(-0.9878826939722987+0.006901138941646249j),(-0.15510781332766788-0.005413974056263918j),(-0.9878826939722959+0.00019514720678975167j),(-0.15519861100818358-4.729461197998733e-05j),(-0.9878826939722977+0.001082523512696307j),(-0.15511218177916772+0.004031988676662934j),(-0.9878826939723013+0.003425942764173219j),(-0.1549704617438953+0.006952119375355066j),(-0.9878826939722959-0.004858701048608256j),(-0.15514958588414543-0.00099956173638693j),(-0.9878826939722977-0.003922987269693352j),(-0.15509297788117693+0.0012219778683452108j),(-0.987882693972292+0.005697186572681986j),(-0.15519951756854744-0.0005172834690247285j),(-0.9878826939722927-0.0007906434764200438j),(-0.15507055019711094+0.0034678522424054364j),(-0.9878826939723033-0.005374143205732072j),(-0.15510670579703556+0.004015265122497657j),(-0.987882693972287+0.0036838044998873318j)
2400000.0,(0.11522868752645123-0.0002899988010205308j),(-0.9933257077951807-0.005128715279846707j),(0.11527282997114671+0.004023916564304005j),(-0.9933257077951777-0.00014496455357709825j),(0.11534032173526768+3.5517749388716546e-05j),(-0.9933257077951795-0.0008044683269301488j),(0.11527609975102232-0.0029961197858200655j),(-0.9933257077951833-0.0025460442289990445j),(0.1151707806858299-0.005166300447208888j),(-0.9933257077951775+0.0036109368175706834j),(0.11530388385555303+0.0007432229943080699j),(-0.993325707795179+0.002915516455238465j),(0.11526182210706233-0.000907780324998525j),(-0.9933257077951747-0.004233975464685095j),(0.11534099391248505+0.0003848044170075126j),(-0.9933257077951735+0.0005876203160813318j),(0.11524515642237351-0.0025768648193734665j),(-0.9933257077951851+0.00399398769152497j),(0.1152720300932352-0.002983690875315954j),(-0.9933257077951693-0.0027376843752999758j)
2600000.0,(0.37706820551897435-0.0009494615779993311j),(-0.9260329352491491-0.016783019548702212j),(0.37721267673106+0.013167165137053604j),(-0.926032935249146-0.0004744590631974299j),(0.3774335161495632+0.00011573674560310266j),(-0.926032935249147-0.002632551565078618j),(0.37722334579830924-0.00980483146768057j),(-0.9260329352491509-0.008331596508467851j),(0.3768786996003953-0.01690641312750233j),(-0.9260329352491451+0.011816167671310815j),(0.37731428331059963+0.0024315930138385927j),(-0.9260329352491469+0.009540534627790639j),(0.37717663198589474-0.0029710594136428126j),(-0.9260329352491433-0.013855104672797207j),(0.3774357178011388+0.0012587226367992805j),(-0.9260329352491405+0.001922857514985081j),(0.37712209324028234-0.008432884808428694j),(-0.9260329352491525+0.013069662567814345j),(0.3772100285006685-0.009764160179545303j),(-0.9260329352491385-0.00895870583671225j)
2800000.0,(0.6112970897496743-0.0015393938852771086j),(-0.7909318565326333-0.027208393053808323j),(0.6115313105439287+0.021346261130678255j),(-0.7909318565326303-0.0007692091340832131j),(0.6118893269983852+0.00018748773667360977j),(-0.7909318565326315-0.00426786554810666j),(0.6115485981090418-0.015895582450071662j),(-0.7909318565326346-0.01350706970316322j),(0.6109898613378457-0.027408555337189108j),(-0.7909318565326291+0.019156167654626848j),(0.6116960298634756+0.003941917616683453j),(-0.7909318565326313+0.015466953717233136j),(0.6114728686374307-0.004816777449795131j),(-0.7909318565326285-0.02246169846272685j),(0.6118928968660347+0.002040478319351723j),(-0.7909318565326249+0.0031172962072697503j),(0.6113844503551733-0.013671404183957812j),(-0.7909318565326363+0.021188319755701717j),(0.6115270083259559-0.015829646904413266j),(-0.7909318565326251-0.014523728491821585j)
3000000.0,(0.800764045418017-0.002016598734851086j),(-0.5979151816604735-0.0356414428273306j),(0.801070864754188+0.027962293750770018j),(-0.597915181660471-0.0010076317143047457j),(0.8015398428883419+0.0002455162861117479j),(-0.597915181660471-0.00559066505721087j),(0.8010935053634721-0.020822380995946785j),(-0.597915181660474-0.01769349218287824j),(0.8003615912379088-0.035903713390065276j),(-0.5979151816604691+0.02509346901927821j),(0.8012866354402787+0.005163603523506586j),(-0.5979151816604715+0.020260814765142094j),(0.800994305410205-0.006309783149001781j),(-0.5979151816604694-0.029423543099451263j),(0.8015445195263892+0.0026728272881258474j),(-0.5979151816604653+0.004083474377156194j),(0.8008784819100823-0.01790883544647778j),(-0.5979151816604752+0.02775547473663649j),(0.801065223998453-0.02073600927455876j),(-0.597915181660468-0.01902525613906052j)
3200000.0,(0.9315954478636037-0.0023461333278945616j),(-0.3611164617201266-0.04146466281033413j),(0.9319523987139292+0.03253080697061497j),(-0.3611164617201246-0.0011722682913069332j),(0.9324979980479217+0.0002855730001666049j),(-0.3611164617201238-0.006504088593330333j),(0.9319787349253328-0.024224464987626117j),(-0.36111646172012574-0.020584315067452286j),(0.9311272374775168-0.04176983380139192j),(-0.36111646172012196+0.029193315937720375j),(0.9322034211693287+0.006007193104783605j),(-0.3611164617201248+0.0235710898125491j),(0.931863328289506-0.007340752190068122j),(-0.36111646172012335-0.03423086078717208j),(0.9325034389669005+0.0031094658231053786j),(-0.3611164617201189+0.004750644265790761j),(0.931728580609102-0.020834895056119275j),(-0.3611164617201271+0.03229025097312488j),(0.931945832870053-0.024123981600079232j),(-0.36111646172012424-0.022133666475207397j)
3400000.0,(0.9942112320245464-0.002503867655257216j),(-0.09787516649315452-0.044251650430822485j),(0.9945921764991122+0.034717273658533665j),(-0.09787516649315343-0.0012510632785515444j),(0.9951744460043346+0.0003047247568296783j),(-0.0978751664931513-0.006941251013690502j),(0.9946202802654215-0.02585271848926327j),(-0.09787516649315216-0.021967859119725833j),(0.9937115499491924-0.04457737278446079j),(-0.09787516649314967+0.03115549929068679j),(0.9948600698289936+0.006410914941665872j),(-0.09787516649315368+0.025155385751507893j),(0.994497117474542-0.007834192366460175j),(-0.0978751664931523-0.03653163789965219j),(0.9951802527487816+0.0033184212974843464j),(-0.09787516649314816+0.005069952839816445j),(0.994353312354475-0.022235323725631174j),(-0.09787516649315359+0.03446059186021849j),(0.994585166759606-0.025745481263793963j),(-0.09787516649315545-0.023621347529107023j)
3600000.0,(0.9840263878988122-0.002478251357283314j),(0.17253298965240732-0.04379832971547744j),(0.98440343116603+0.03436159120735771j),(0.17253298965240735-0.001238246777034319j),(0.984979734671251+0.00030156953030788486j),(0.17253298965241057-0.0068701411632868786j),(0.9844312450359143-0.02558791308828046j),(0.17253298965241082-0.021742814851512603j),(0.9835318231516372-0.044120749330996495j),(0.17253298965241187+0.030836339330675228j),(0.9846685791197638+0.006345207055229354j),(0.17253298965240724+0.024897693437831193j),(0.9843093445543389-0.007753971417209862j),(0.17253298965240849-0.03615740100028342j),(0.9849854819954491+0.0032843934052925964j),(0.17253298965241207+0.005018019028587904j),(0.9841670119557533-0.022007575401200057j),(0.1725329896524093+0.0341075754032403j),(0.9843964912518555-0.025481774398438642j),(0.1725329896524029-0.023379364434461487j)
3800000.0,(0.9017866956956332-0.002271159470669819j),(0.4303075025049467-0.04013789465314527j),(0.9021322285530176+0.03148980499346493j),(0.43030750250494604-0.0011347570719204975j),(0.9026603667695687+0.00027633907640673165j),(0.4303075025049497-0.006295965876376794j),(0.9021577163490136-0.023449438315801575j),(0.4303075025049511-0.019925660861968692j),(0.9013334625960585-0.040433398758883604j),(0.430307502504951+0.02825920656304923j),(0.9023752159249484+0.005814881590874281j),(0.4303075025049454+0.02281688240448841j),(0.902046004199093-0.007105962771633319j),(0.430307502504947-0.03313555322770174j),(0.9026656337749279+0.00300987454164887j),(0.4303075025049491+0.004598645791172803j),(0.9019155662574568-0.02016832612518602j),(0.43030750250494937+0.03125705120418861j),(0.9021258671186415-0.023352170094255248j),(0.430307502504939-0.021425436133012506j)
4000000.0,(0.753514116452449-0.001897755133416815j),(0.6565729601406126-0.03353837858186333j),(0.7538028369824915+0.026312201213535807j),(0.656572960140611-0.0009481719273451428j),(0.7542441375388165+0.0002308819587387937j),(0.6565729601406153-0.005260768708667556j),(0.7538241329209951-0.019593881861513122j),(0.6565729601406177-0.016649457200466507j),(0.7531354028600489-0.03378532443131282j),(0.6565729601406164+0.023612810452316894j),(0.7540058712911893+0.004858772447792349j),(0.6565729601406101+0.019065319149510103j),(0.7537307890733027-0.005937615473987757j),(0.6565729601406123-0.02768736771480739j),(0.7542485384929479+0.002514967294785076j),(0.6565729601406124+0.003842541646642715j),(0.7536217969476392-0.016852252944847677j),(0.656572960140616+0.026117747637548146j),(0.7537975203917099-0.019512606504096495j),(0.6565729601406018-0.017902637913922673j)
