Iref,0,1,2,3,4,5,6,7,8,9
200000.0,-0.001107482297628303,-0.0004900420959971962,-2.915357253266848e-05,-0.0006734749440263838,-0.0010369756158100788,-0.0004047066954540787,-0.0008274359173796256,-2.562950713429018e-05,-0.0006838814316347997,-0.0007218516583374002
400000.0,-0.0012659781142428982,-0.00022539422460031344,-3.305052119088941e-05,-0.0005676087649175316,-0.0006758013006558758,-0.000447646380084625,-0.0009234982024294733,-2.5346642540826e-05,-0.0006699434032638963,-0.0006234697137658077
600000.0,-0.0012473228116366474,1.5796825147699564e-05,-3.3886411504742384e-05,-0.0002773031431966229,-0.0006383390629702869,-0.00039946141513627176,-0.0008419470446921574,-1.8659865832305512e-05,-0.0007796047231112608,-0.0003239642246050062
800000.0,-0.0009225272029230836,0.00010896960633530398,-2.7690230398875428e-05,6.565325090312399e-05,-0.0008363565173633105,-0.00024388940273696792,-0.0005363663593301317,-7.657727959303881e-06,-0.0008494175097219705,4.448677800319274e-05
1000000.0,-0.000371519291292294,5.300737983896397e-05,-1.5292676423909142e-05,0.00030322221297316717,-0.0009801963660545881,-3.7924352848087437e-05,-0.00011333145479275847,2.761210200376809e-06,-0.0007314040669957176,0.00031200057062937415
1200000.0,0.0001702227803032535,-5.111109953102035e-05,-1.845494012425964e-06,0.00035971077996519547,-0.000840844939686552,0.0001291464490928532,0.00024349913354788442,8.380921147569703e-06,-0.00041973864759493147,0.0003886043006259327
1400000.0,0.0004838739812888006,-9.66607161727734e-05,7.005760849486771e-06,0.0002771967150317505,-0.0004350227752492564,0.00019865678996097163,0.00040415255153268976,8.330496962215486e-06,-5.407055423046196e-05,0.00030982036975727947
1600000.0,0.0005113150362890158,-5.4912406483636e-05,8.962238661770243e-06,0.00015911564516849468,8.772312778455671e-06,0.00017571971886005486,0.0003690686044114409,4.945162242947845e-06,0.00019432732278510233,0.00018322277235478394
1800000.0,0.0003581641466778496,1.963278185679681e-05,5.900731504144561e-06,8.162340500741266e-05,0.0002539522792463605,0.00011054908402406403,0.00023780187359829952,1.3528436021361914e-06,0.0002493750784006746,9.436047218468351e-05
2000000.0,0.00017710189224220813,5.4387559731956564e-05,1.5080970006529243e-06,4.933276717097034e-05,0.00023844459853705484,5.1638882460421884e-05,0.00011348146397387608,-9.013599861646073e-07,0.00016378430742002093,5.449652799603063e-05
2200000.0,4.940481227293441e-05,2.7003055404956368e-05,-1.7971113897775384e-06,2.2087363827846608e-05,8.311849190790037e-05,1.3835926700637424e-05,3.244678459109061e-05,-2.2854608616961003e-06,4.730480199510401e-05,2.368838422677734e-05
2400000.0,-3.939283853319163e-05,-2.382202355385137e-05,-3.9963870571227735e-06,-2.5759753755604223e-05,-4.963176209576584e-05,-1.602150314836763e-05,-2.967173413975009e-05,-3.8517286222971355e-06,-3.0255846498960938e-05,-2.7200514039917227e-05
2600000.0,-0.00013244862662055171,-4.508447939547925e-05,-6.162376600998238e-06,-7.461906502703921e-05,-9.616825568937482e-05,-4.996281722023224e-05,-9.944153626879249e-05,-5.66098232090903e-06,-7.479879886699984e-05,-8.04409291408956e-05
