L;TEMP
0;361.838
3.339404979;362.951
4.687310261;364.063
5.792349727;365.176
6.630236794;366.289
7.44383728;367.401
8.111718276;368.514
8.718882817;369.626
9.241044323;370.739
9.975713418;371.852
10.71038251;370.739
11.24468731;369.626
11.87613843;368.514
12.56830601;367.401
13.33333333;366.289
14.20765027;365.176
15.31268974;364.063
16.66059502;362.951
20;361.838
