0 Ex,0 Ey,2 Ex,2 Ey,4 Ex,4 Ey,6 Ex,6 Ey,8 Ex,8 Ey,10 Ex,10 Ey,12 Ex,12 Ey,14 Ex,14 Ey,16 Ex,16 Ey,18 Ex,18 Ey,20 Ex,20 Ey,22 Ex,22 Ey,24 Ex,24 Ey,26 Ex,26 Ey,28 Ex,28 Ey,30 Ex,30 Ey,32 Ex,32 Ey,34 Ex,34 Ey,36 Ex,36 Ey,38 Ex,38 Ey,40 Ex,40 Ey,42 Ex,42 Ey,44 Ex,44 Ey,46 Ex,46 Ey,48 Ex,48 Ey
(-8.886164262112058e-14-3.2710639752409065e-13j),(0.9999999999994514+6.667791319081573e-13j),(-0.00697570203075307+1.5988112822933054e-05j),(0.9999756307048606+0.0002780663522278248j),(-0.013961742600106132-3.243997582531638e-05j),(0.9999025240087601-0.00010569314781690327j),(-0.020938517468847243+0.0002547316082398771j),(0.9997806834743009-0.00031392448400294464j),(-0.027882181557541408-0.0010917915575837656j),(0.9996101150398277+0.0010049138070635268j),(-0.03483970592974714-0.0020380857892408457j),(0.9993908270185601-0.00012636106077121984j),(-0.041865684835933004+5.559577274893111e-05j),(0.9991228300983251-0.0009119855107839538j),(-0.04878574215543138-0.0008697961018074296j),(0.9988061373409302+0.0023441045376646876j),(-0.05578751053443056-0.001793822553996717j),(0.9984407641814248-0.0007591368435906423j),(-0.0627239720700651+0.00026886299561833596j),(0.9980267284277685+0.0028775654828397256j),(-0.06971761201914653+0.0021310148467550243j),(0.9975640502592527-0.0009375389759708058j),(-0.07667659632555292-0.0020069394294015986j),(0.9970527522263651+0.0015751338982256616j),(-0.08350175519084349-0.0047302071095713j),(0.996492859249031+0.0026577218376149826j),(-0.0905516460045837-0.0010988232232559854j),(0.995884398615487+0.0036683220331652873j),(-0.09750905833209951-0.002206838994126428j),(0.9952273999813099+0.0030879977649223306j),(-0.10449108945025201+0.0023099884531109192j),(0.9945218953677597+0.0015734712806646945j),(-0.11140697738209833+0.0028413727494575793j),(0.9937679191600656+0.0023947523225472805j),(-0.11839694886804648+0.0007770450092939186j),(0.9929655081060428+0.0010287907577039655j),(-0.12527397405112897+0.0019388256709432766j),(0.9921147013139048+0.003330437832973171j),(-0.13204603531142894+0.00562387913308132j),(0.991215540251049+0.0048958457678259515j),(-0.1390588962607624+0.004769463219366114j),(0.9902680687410294-0.003004600166599267j),(-0.1458637152704061+0.00254702765307439j),(0.9892723329625929+0.007585542254818242j),(-0.15283043937535182-0.006223077659428225j),(0.9882283814460326+0.0029658402253472035j),(-0.15951555534408784-0.0095608929857758j),(0.9871362650723057-0.005036973951532062j),(-0.16660466792667744-0.002880094237713047j),(0.9859960370698552-0.006812089522220628j)
(-1.6590934360607973e-13-2.1527159395351436e-13j),(0.999999999999466-1.160981033532238e-13j),(-0.006972437228022-0.0003141894102548469j),(0.9999756307048484+0.00015620323596778063j),(-0.013955443849084086+0.00017481862175689616j),(0.9999025240087833+0.0003968692792846555j),(-0.02094096782847373-0.0001730239341881292j),(0.9997806834743099-0.00017572617275386695j),(-0.027914188921136986-0.0006436039980240592j),(0.9996101150398008+4.171065794315171e-05j),(-0.03489139041664766-0.0004743364608285842j),(0.9993908270185489+0.0005837377755390314j),(-0.041844551520561574+0.0003230569457259476j),(0.9991228300983261+0.0015809862347111589j),(-0.048813211197391605+0.0014800083034115109j),(0.9988061373408665-0.0011747327921065483j),(-0.0557935947284705+0.0008074869753122993j),(0.9984407641814323-0.0015694495114513584j),(-0.06274821288592429+0.0010201873233928738j),(0.9980267284277434+0.0020664801399203504j),(-0.06973179139426425+0.0012850528279869326j),(0.9975640502592681+0.001338483249998296j),(-0.07669738951473286-0.0009506517298972974j),(0.9970527522264059+0.0015543421625266955j),(-0.08335307391064502+0.006519773090181393j),(0.9964928592490084+0.003426236002166426j),(-0.09060424224543095-0.0021637790656157717j),(0.9958843986154668+0.0006737510718883843j),(-0.0973274743929442-0.0009967878947259243j),(0.995227399981271-0.006985088947926654j),(-0.10452139778184764+0.0008298821966833086j),(0.9945218953677474+0.0008878819368268241j),(-0.11114135356573064-0.007259168111829761j),(0.9937679191600894+0.004497427378298571j),(-0.11836251484764639+0.002499718654362296j),(0.9929655081059525-0.0018884375507070474j),(-0.12522033658891407-0.0038669237456982457j),(0.9921147013140238+0.0036515258172267646j),(-0.13210561854609582+0.006019826050253463j),(0.9912155402510627-0.00190263148631363j),(-0.1390863056488047+0.0029235899882723067j),(0.9902680687411334+0.0039502193816660855j),(-0.14584732623934002+0.0069428769794447395j),(0.989272332962529+0.004539286495162009j),(-0.1528673998434272+0.005938492047734618j),(0.9882283814459544+0.0009790203797896413j),(-0.15982397736116702-0.0004964295899672986j),(0.9871362650723678-0.004247822498157252j),(-0.16657807958370396-0.007912671140219043j),(0.9859960370700032-0.00097361121792457j)
(2.1699005221726164e-14+3.5679445509195773e-13j),(0.9999999999994552-1.5681813486656537e-13j),(-0.0069750535869154496+0.00028404029830825326j),(0.9999756307048528+7.709679975563197e-05j),(-0.013954143055155889-5.192039014467048e-05j),(0.9999025240087432-0.00047082448750594545j),(-0.020942199882773085-4.992169725926451e-05j),(0.9997806834742932+8.1990698029709e-05j),(-0.027895026673868818+0.0012152334753306488j),(0.999610115039826-9.27547965340926e-05j),(-0.034873121290710636+0.0013277967592282168j),(0.9993908270185442+0.00027791599877066003j),(-0.04184409861571716-0.00036315032130876737j),(0.999122830098313-0.0015842689532682467j),(-0.04877649021041407+0.0004915419802003634j),(0.9988061373409182+0.0026291440183745293j),(-0.05570346727648964-0.003622153973011497j),(0.9984407641814645-0.0002101276156142376j),(-0.0626414890671187-0.0033323365493213054j),(0.9980267284276929-0.002754763767485985j),(-0.06969787509673203+0.0028586412718863644j),(0.9975640502592623+2.5136690823476804e-06j),(-0.07658916648022243-0.002311905409005506j),(0.9970527522263319-0.003816274105078593j),(-0.08364691310828944+0.0022235309609526504j),(0.9964928592490035+0.00048093885613036125j),(-0.09062788052861728-1.4972966316752559e-05j),(0.9958843986153667+0.0009228435115512124j),(-0.09756309575564803+0.0018221703932756782j),(0.9952273999812417-0.0007378123998198725j),(-0.10445798491455073-0.0028481857237744896j),(0.9945218953678046+0.002572325524657946j),(-0.11123259997923388-0.003234485077493906j),(0.9937679191599735-0.006493816713330294j),(-0.11823923127647405-0.003569203070780111j),(0.9929655081060782+0.005122956873229912j),(-0.1251564800171923-0.005574886068939919j),(0.9921147013138144-0.0036325735973191595j),(-0.13219490572594614-0.0012708593268331032j),(0.9912155402509164-0.0038268238359325177j),(-0.13917249698859868+3.403279888473422e-05j),(0.9902680687410893+0.0004086005804581286j),(-0.14598847485192534+9.558032630854404e-05j),(0.9892723329624034-0.005254265774096412j),(-0.15288886030445714+0.004964184171062014j),(0.9882283814460787-0.00224039587526529j),(-0.159382463415918-0.008439963074644584j),(0.9871362650725725+0.00938038145553119j),(-0.16653366845004947+0.003788704760196205j),(0.9859960370700132+0.007999866870113108j)
(6.07238917967137e-14-6.045580702718212e-13j),(0.999999999999456-1.2559397966072083e-15j),(-0.006957458784087601+0.0005748102908660502j),(0.9999756307048536+3.682045102443299e-05j),(-0.013949565854050118+0.0003929725423540177j),(0.9999025240087607-0.0004445952105345385j),(-0.020880451314098596-0.0008488962060750477j),(0.9997806834743332+0.0013678737812951557j),(-0.0278882519233605-0.0005944647472684167j),(0.9996101150398083-0.0012287901956146412j),(-0.034893451550220264+0.0004744456273748053j),(0.9993908270185478-0.00044363314007410653j),(-0.04186259834479954-0.0010423336595844544j),(0.9991228300983185-8.231403317724567e-05j),(-0.0488236670380092-0.0010520506027069092j),(0.9988061373408849-0.001201139279371169j),(-0.055798784580052205+0.0010996012396706362j),(0.9984407641814623+0.001151927144276272j),(-0.06278363946729455-0.0004937556165472232j),(0.9980267284277476-0.0007875045161266523j),(-0.0696342411305433-0.003239767003382868j),(0.9975640502592289-0.0025577336141342673j),(-0.07669263509155681-0.00010144328250306922j),(0.9970527522263457-0.0020096538943232697j),(-0.08360679466967015+0.0034457497922415785j),(0.9964928592489587+0.00011026408727240686j),(-0.0904644449932467-0.000601829454491571j),(0.9958843986153508-0.005485124138097738j),(-0.09755187175236754-0.0024605927276589324j),(0.9952273999813195-1.1241305853554664e-05j),(-0.10443480798841703-0.000695190548821039j),(0.9945218953677677+0.004368892713960334j),(-0.11130790680347961+0.003529799879732006j),(0.9937679191600052-0.004838723296386925j),(-0.11831044296464156-0.002779383498520877j),(0.9929655081060156-0.0037965541676026303j),(-0.1253038098374325+0.0008746558017159716j),(0.9921147013139843+0.002570924544583376j),(-0.13219458079014168-0.002218575631852007j),(0.991215540251011+0.003379866224718332j),(-0.13897879310868871-0.001718596692666094j),(0.9902680687411128+0.007147973287850979j),(-0.14607952516963857-0.0007350198930741493j),(0.9892723329623405-0.0006952022079257511j),(-0.1528090123280803+0.007113888648850819j),(0.9882283814460946-0.001861301413646526j),(-0.15958316389628258-0.0034280718903387346j),(0.9871362650723436-0.009135442074630469j),(-0.16584937767393979-0.00625035634158063j),(0.9859960370701827+0.01633192736880335j)
(6.315790143186305e-14-2.9242580579236233e-13j),(0.9999999999994508+4.658357033449079e-13j),(-0.006959753922127718-0.000517117044588242j),(0.9999756307048607+0.00018002958062596913j),(-0.013915265201075108-0.000674096257869676j),(0.9999025240087498-0.0009238335712420977j),(-0.020917267199163606+0.0009200992788432841j),(0.9997806834743054+0.00045420348791029574j),(-0.02791933005222816+0.0003563648588376895j),(0.999610115039806+4.38467586825822e-05j),(-0.034857908286153594-0.0014113599561921472j),(0.999390827018529-0.0009535004480782754j),(-0.04182611086660108+0.0013012418412745343j),(0.9991228300983315+0.0015663954368540858j),(-0.0487881306980993+0.0009844671950077072j),(0.9988061373408453-0.0022470283718538063j),(-0.05576275044923543-0.002013999304834998j),(0.9984407641814749+0.001581103655133885j),(-0.06278827253059466-0.00041953537136656463j),(0.9980267284277528-0.0003258303326720063j),(-0.06969734222975443-0.0026009908683371887j),(0.9975640502592704-0.0012169477599251396j),(-0.07666966356022993+0.000925329898566904j),(0.9970527522263147-0.002591472746527445j),(-0.08359088906584074-0.00035605555505328207j),(0.9964928592489671-0.003797098150437519j),(-0.09061866188699856+0.001218428855864125j),(0.995884398615472+0.0010188926058531025j),(-0.09750424521288184+0.0030689424755576695j),(0.9952273999813459+0.0024343547085690764j),(-0.10446691730328303-0.0008734773617879131j),(0.9945218953677029-0.003478485241365199j),(-0.1112889128863131+0.0050081158674492275j),(0.9937679191600867+0.0038754988290274975j),(-0.1183792241954097+0.00240718094489367j),(0.9929655081060212-0.00025390834762311666j),(-0.12533198943848284-2.7611517372017058e-05j),(0.9921147013139192+0.0005577604366505283j),(-0.13224985971678857-0.00034892345059489224j),(0.9912155402510076-0.0012671310481209197j),(-0.13906489480200357+0.004739086706772583j),(0.9902680687409686-0.002765523791460488j),(-0.14574244452389656-0.0003838010868672456j),(0.9892723329625756+0.009962117978529746j),(-0.15279749806601464+0.0012485838937523266j),(0.9882283814458497-0.007485434313992555j),(-0.1598477905454075+0.000327239839989623j),(0.9871362650724285-0.003251299674550186j),(-0.16673438305646499-0.002079796520741491j),(0.9859960370699393-0.00267111109639181j)
(-5.535961118642631e-15+2.8480256347718225e-13j),(0.999999999999442-1.1842696961972266e-13j),(-0.006956072005038652-7.20936375285322e-05j),(0.9999756307048593+0.0005880987231886535j),(-0.013939422125755427+0.0007386499252701288j),(0.9999025240087609+0.0002989764445591944j),(-0.020873885125097927+0.0009347166402582166j),(0.9997806834742832-0.0014114443618081403j),(-0.02789558019037374+0.00120322479288808j),(0.9996101150398073+8.224925387997559e-05j),(-0.034880093118340776+0.0011382040057181459j),(0.9993908270185531-0.00024179697283377086j),(-0.04182487451055549-0.0019743583076311383j),(0.9991228300983244+0.0005934278948103236j),(-0.04883816464962447+0.0006611362436102428j),(0.9988061373409096+0.0008346146272691672j),(-0.05581461162359276-0.0005489453340031579j),(0.9984407641814371+0.0006842572746176626j),(-0.06273780193630088-0.0021102159140884407j),(0.9980267284277039-0.0014712375117340616j),(-0.06974009870068743+0.0012823923190242378j),(0.9975640502593269+0.0007998326558166739j),(-0.0766495141057125+0.0031282360534409344j),(0.9970527522264012+0.000935629839606926j),(-0.0835950731119021+0.002565894586435396j),(0.9964928592488642-0.0026946987418454763j),(-0.09062134016937363+0.0013443651079326291j),(0.995884398615397+0.0004795640808640429j),(-0.09749991369755219+0.000777154104825109j),(0.995227399981334+0.003947807713629697j),(-0.10444195215885503+0.0014300548785830848j),(0.9945218953677433+0.004004148516832554j),(-0.11144807185962062+0.000272630185028315j),(0.9937679191601015+0.0021391116553610146j),(-0.11834025368801149+0.003737022168658782j),(0.9929655081059648-0.0010577018221791627j),(-0.1251662582424465-0.003712310278527836j),(0.9921147013139334+0.005295846074975968j),(-0.13206218942923634+0.0068424872344163895j),(0.9912155402509474-0.0021239716411801147j),(-0.13893842111094215-0.0018554641763958296j),(0.9902680687409452-0.00786285080980306j),(-0.1460068625568969+0.003933953174118108j),(0.989272332962473+0.0026021784357142825j),(-0.1528494201088224+0.0062735523032988955j),(0.9882283814460879+0.0015373409645710531j),(-0.1598376338562076+0.00015629360318323085j),(0.9871362650726051+0.0037283445354395106j),(-0.1667645416310836+0.001178811347971454j),(0.9859960370700364-0.00011375173603995516j)
(2.2091681517189429e-13+3.591155151028147e-13j),(0.9999999999994573+8.967566272888305e-14j),(-0.0069799996270516855-0.00011953881483230556j),(0.9999756307048463+5.754158731054865e-05j),(-0.013957076479738952+0.0002928750194360445j),(0.9999025240087517-0.00023816000809710053j),(-0.020936522732766163-0.00019956286074191906j),(0.9997806834742934-0.00045512757062229296j),(-0.027891462424911927-0.0012785007015516515j),(0.9996101150398108+0.00022286492930491744j),(-0.03483141840853032-0.001890965508492791j),(0.9993908270185298-0.0010823175174621696j),(-0.041718872157032794+0.0014868220075353322j),(0.9991228300982589-0.0033008243837180824j),(-0.048778117393465735-0.0026072994670864645j),(0.9988061373408821+0.00044414201979790444j),(-0.05576070222769379-0.0020581795086015327j),(0.9984407641814536+0.0015963720861655942j),(-0.06278867956562378-0.00043727574933055723j),(0.9980267284277199+0.00019962739635894606j),(-0.06971965997055517+0.0022628672049615985j),(0.9975640502592746+0.00011863737164912944j),(-0.0765382114151122+0.0009302604974911616j),(0.9970527522263042-0.005181320838685045j),(-0.08366081964483729-0.0012311140669271558j),(0.9964928592489829-0.0011545904947886116j),(-0.09056704067647926+0.0031360688864223787j),(0.9958843986153736-0.0014285686665962347j),(-0.09754549661804013-0.002076267122437544j),(0.9952273999813388+0.0017284471802268206j),(-0.10446096258717505+0.0034432474998072147j),(0.9945218953677035-0.0015003250099587806j),(-0.11134795129209392+0.004062424908225034j),(0.9937679191599941-0.003233155463759796j),(-0.11828361202973886-0.0050486343846732635j),(0.9929655081059252-0.001731510000812269j),(-0.12532957313037027-0.00014835225561121452j),(0.9921147013139063-0.0009463225101063753j),(-0.13220389986086287-0.002695559014477867j),(0.9912155402510399+0.002572078327728893j),(-0.1390004765273742+0.005728326386307478j),(0.9902680687410811+0.0038994656934116315j),(-0.14578227823822168+0.0061819758844866984j),(0.989272332962478+0.007040011343941631j),(-0.15286508773839888+0.003827860663759364j),(0.9882283814461084+0.004720014487601358j),(-0.1598324857896743+0.003936936033809844j),(0.9871362650725091+0.00026683055995506584j),(-0.16676252654314153-0.00032604611526993506j),(0.9859960370700223-0.0014029668551946207j)
(-8.53268692925052e-14+6.419378917321694e-13j),(0.9999999999994577-1.0134428019004105e-13j),(-0.006948992367656701-0.0004511421643559818j),(0.9999756307048546-0.0004959548155619581j),(-0.01395649386124972-0.00026263785007456415j),(0.9999025240087481-0.0002996336013680375j),(-0.020934846374664893-0.00035814493058012806j),(0.9997806834743084-0.00043461483254226933j),(-0.027905845932838073-0.0009089438244551588j),(0.9996101150398222-0.0002355692785108686j),(-0.03487349984708701+0.0007735139992358815j),(0.9993908270185293-0.0011025219377445977j),(-0.041855580630603+0.0011521910055610068j),(0.9991228300982914-0.0005943073758869835j),(-0.04882632557039983+0.0004758143715157797j),(0.9988061373409185+0.0014365030412162982j),(-0.055802929468168505-0.0011666158195187386j),(0.998440764181441-0.0008440912176407942j),(-0.0627293710156194+0.002696521366194699j),(0.9980267284277378+0.0006357100297986439j),(-0.06962718196567876+0.0017647222482478735j),(0.9975640502592511-0.0038609475737934485j),(-0.07671052518859693+0.0008659070890622254j),(0.9970527522263691+0.0007448536383195528j),(-0.0836503474299786-0.0016515910687987245j),(0.9964928592489752+0.0013686075023171748j),(-0.09060899568016284+4.05713307713787e-06j),(0.995884398615413+0.0020674812420292997j),(-0.0975322593996713+0.002310275730800922j),(0.9952273999812941+0.002131508345908799j),(-0.10376056241334514-0.01177256898703841j),(0.9945218953677871+0.004620815955666595j),(-0.11131179557458197-0.005911186792783692j),(0.9937679191600268-0.00025472321457128966j),(-0.11827406053762125+0.005429754440089649j),(0.9929655081059922+0.0011243137372240128j),(-0.12525346478047977-0.004334908707578704j),(0.9921147013139424-0.001094332059011601j),(-0.1322163648473331-0.0025081916761748365j),(0.9912155402509893+0.0020723428572013494j),(-0.13912397990157968+0.0017384633725707668j),(0.9902680687411097+0.0032631261227286656j),(-0.14599857361635948+0.00496081189840504j),(0.9892723329623913+0.00024100068082278867j),(-0.1526402497620158+0.0090945997922135j),(0.9882283814459514-0.004786283614667548j),(-0.15963421379731724+0.007722966029597598j),(0.9871362650724714+0.004389505517165677j),(-0.16676138162323365+0.0009894973978348443j),(0.9859960370699681-0.0012154732564697754j)
(-3.787567202370177e-13-6.34492458573277e-14j),(0.9999999999994712+1.921414416461431e-13j),(-0.0069683123582564635-0.0003525348901039782j),(0.9999756307048518+0.00023735494097050155j),(-0.013941382958891897+0.0002389786098476454j),(0.9999025240087458-0.0007233327452198565j),(-0.020941069642743098+0.00020585456179213072j),(0.9997806834742996-0.00011906588049344965j),(-0.027882719214085066+0.00136450061908913j),(0.9996101150398096+0.0005567910796230556j),(-0.034848997838447214+0.0013321616621915604j),(0.9993908270185303-0.001321955027275265j),(-0.041853393785901104-0.00020517883165579315j),(0.999122830098314-0.0013497057077175357j),(-0.04881294973661211-0.0015880721970425726j),(0.9988061373408755-0.0010363270812086267j),(-0.055798982009029684+0.001273201900775095j),(0.9984407641814317+0.0009449779778347j),(-0.06278557589296345+0.0007314825608005964j),(0.9980267284277649-0.0002928066683434028j),(-0.06974738646375209-0.0007700340341989824j),(0.9975640502592552+0.0008214367401122103j),(-0.07659325452900588-0.0007414336061076707j),(0.9970527522263367-0.0043281536078199866j),(-0.08367689457782203+0.0002574008377358805j),(0.9964928592489392+0.00030417658322090036j),(-0.0905575788288297+0.002994120985190831j),(0.9958843986154924+0.002150523043076018j),(-0.09746052143706763-0.0036526601544458054j),(0.9952273999813255+0.0032445585728791033j),(-0.10443615832147304+0.0004925919153326783j),(0.9945218953676767-0.004364151859534676j),(-0.11146744228961107-0.00022800277885929232j),(0.9937679191600785+0.0005293121034105516j),(-0.11830937182043332-0.0008029071118963206j),(0.9929655081059993-0.0046634311754603424j),(-0.12530114133850076+0.0027237221496316803j),(0.9921147013139145+0.0007904129525637977j),(-0.13207028698033488-0.0013318308134457058j),(0.9912155402510976+0.006886093757752798j),(-0.13909818563839543+0.0024199691417982772j),(0.9902680687409261-0.0038717609013148276j),(-0.14590355229585103+0.006351519631686255j),(0.9892723329625729+0.003473162753734986j),(-0.15281365300420316-0.0010484295749211212j),(0.988228381446129+0.007180136085747942j),(-0.15957609355883406+0.009817275590975989j),(0.9871362650724-0.0010419415863561939j),(-0.16664727734169613-0.006137795911871755j),(0.9859960370699983+0.0016814568386032541j)
(6.9967512719345825e-15+7.482081360726811e-13j),(0.9999999999994489+1.0790500437618533e-13j),(-0.006980932875561738+4.270806468386181e-05j),(0.9999756307048567-5.241714304200177e-05j),(-0.01393986811210192-0.0005975894601093906j),(0.9999025240087629+0.0005152122515383328j),(-0.02093335096507137-0.0006043456270920992j),(0.9997806834743034-0.0001205583903301239j),(-0.027906642769887142+0.00041925529080557786j),(0.9996101150398291-0.0008132793411895715j),(-0.03483443680014268+0.002128856712741931j),(0.9993908270185542+6.965618798088213e-05j),(-0.04181880788127543+0.0021011125062184452j),(0.9991228300983291+0.0005856695642442594j),(-0.04881487037968845+0.0018140722384068731j),(0.9988061373408776-0.0003429006119633621j),(-0.055749356169010986+0.001149460121160701j),(0.9984407641814486+0.002593925178473497j),(-0.0627475772152064+0.002170326731703324j),(0.9980267284277385+0.0008249716570621068j),(-0.06953375147013258-0.005357286909886275j),(0.9975640502593047+0.0015239792051969236j),(-0.07670630104718017+0.0009872395277661893j),(0.9970527522263948-0.0009889461362594457j),(-0.083648951958934+0.0008565129797111215j),(0.9964928592490456+0.002025015127215833j),(-0.09059317533996111-0.0009317036587239702j),(0.995884398615425-0.002504616421425991j),(-0.09745898040670335+0.0005924246850513952j),(0.9952273999812474-0.004880419709692638j),(-0.10439296887941003-0.003722486869837855j),(0.9945218953677702+0.003801417241298212j),(-0.11146673391681709-0.0003114478262649899j),(0.9937679191600786+0.0006269587916202793j),(-0.11824144365970356-0.004499314735593864j),(0.9929655081060264+0.004268123571195145j),(-0.12533246729187314+0.00013599214843516036j),(0.9921147013139905+0.0004166344118365876j),(-0.1322327675223666-0.0023888102769791027j),(0.9912155402510505+0.0007358957466141527j),(-0.13885024946618593-0.007912638807153496j),(0.9902680687410073+0.005210604680164575j),(-0.14596080285353205-0.00251776533264305j),(0.9892723329625488+0.005418128995722682j),(-0.15292591569514255+0.004133838312214382j),(0.9882283814459443-0.0011143577706934672j),(-0.15983861807679647-0.003168898284772144j),(0.9871362650724035-0.0018890295859305597j),(-0.16676394668761765-0.0012646187268961434j),(0.9859960370700324-4.1300789160357045e-05j)
(-2.991244995391035e-13+2.611487415205005e-13j),(0.9999999999994691+6.114067585549776e-13j),(-0.00697863908350456-9.544870907276896e-05j),(0.9999756307048516-0.00016577527825048857j),(-0.013943715517593712+0.000714190062719079j),(0.9999025240087541+7.217999466711811e-05j),(-0.020913475902789906+0.000255634136406422j),(0.9997806834743086+0.0010705733994535917j),(-0.027917369700468632+0.00035188249099335836j),(0.9996101150398147-0.00033846229625501476j),(-0.03485665229403232-0.0013408000480951855j),(0.9993908270185242-0.0010912910740399386j),(-0.041696541415759+0.0018989396739802905j),(0.9991228300982765-0.0033708808042260396j),(-0.04878693707765413+0.0024274279690876125j),(0.9988061373408487-0.0004923141129490397j),(-0.055668235161280985-0.0019423548351048744j),(0.9984407641814621+0.003649009642395685j),(-0.06272379794584601-0.002857505335668313j),(0.9980267284277712+0.0004573589223054661j),(-0.06965163717361031+0.0037738392090699317j),(0.9975640502593254+0.0006109057143191127j),(-0.07664166910069882+0.0021356402632461725j),(0.9970527522263454-0.0027023831916300894j),(-0.08357215274411305+0.0011737508844269738j),(0.9964928592490394+0.004037209331087179j),(-0.09059422514255623-0.0019484259089418907j),(0.9958843986154473+0.0017761195192058637j),(-0.09743923021982584-0.0012032916667671228j),(0.9952273999813678+0.005154689960595888j),(-0.10436620200680737-0.002529334993535238j),(0.9945218953677998+0.005243851265869211j),(-0.11130463216895282-0.0007050026169171976j),(0.9937679191601555+0.006008716672490419j),(-0.11828601628014135-0.004440315962334868j),(0.992965508106016+0.002863853593049269j),(-0.12530581357920578+0.0018927652323306732j),(0.9921147013139286+0.0018138243298287515j),(-0.13224128313752792-0.00019379579342810975j),(0.9912155402509629+0.001989532915459338j),(-0.1390701650644679+0.0028297444179938742j),(0.9902680687410912+0.004542440552194794j),(-0.14592680873341693+0.006684923457475898j),(0.9892723329624519+0.000964118854476375j),(-0.1527967148750874-0.004003649152435198j),(0.9882283814461112+0.006465355376530802j),(-0.15986109180907465+0.0013922949560232394j),(0.9871362650723968-0.002118258289667871j),(-0.16673540368019207-0.0031509778862731782j),(0.9859960370699129-0.0010915032304739287j)
(-5.109454679919829e-13+1.460602472302952e-13j),(0.9999999999994591-3.9211169033936955e-13j),(-0.006981123771874686-4.350950799320171e-05j),(0.9999756307048508-3.6254530403202583e-06j),(-0.013892159269942809-0.0007337620917263407j),(0.9999025240087555-0.0011882692681592644j),(-0.02092246265622744+0.0007238875511845107j),(0.9997806834743127+0.0005581162666442041j),(-0.02786889465179693+0.000917283129503732j),(0.9996101150398196+0.0014495556308034181j),(-0.034864743654971775+4.2235433778403664e-05j),(0.999390827018554+0.0015565140896855359j),(-0.04179570324688298-0.0025615361577551107j),(0.9991228300983269-0.0003579076236275326j),(-0.0488174884383616+0.0016449504899811243j),(0.9988061373408836+0.0006685577969443822j),(-0.05579873832996596+0.0014677775369476053j),(0.998440764181443+0.0006219723134005869j),(-0.06279013512250116+0.00017391777947998901j),(0.9980267284277349+0.00013426337444244723j),(-0.06970485242337959+0.0014695028163799959j),(0.9975640502593507+0.0022449363426146497j),(-0.0767089883517372+0.0007891299328005221j),(0.9970527522263947+0.0009579439882114703j),(-0.08363296583290505+0.0017347924272590465j),(0.9964928592489891+0.002121081306109919j),(-0.09056619243273357+0.0018435375226742434j),(0.9958843986153548-0.002937813994959869j),(-0.09757679761542998+0.0010747812001915386j),(0.995227399981286-0.00018904470451486764j),(-0.10447302056196486+8.669945622557032e-05j),(0.9945218953677223-0.0034029532701855417j),(-0.11132990990283928-0.0050529576524707895j),(0.9937679191601353+0.002332729526236796j),(-0.11834836520655224-0.0008406127157746628j),(0.9929655081058826-0.003529523216311611j),(-0.12513457370192876-0.0030529682424543826j),(0.9921147013138958-0.006359031773358524j),(-0.1320710631012727+0.0069677722758807676j),(0.9912155402511063+0.0006612143533415021j),(-0.13896076069708896+0.007111516799628136j),(0.990268068740998-0.0029129617519522803j),(-0.1458703573100018+0.0058284007117341795j),(0.9892723329625521+0.005302814077789951j),(-0.15278762386344397-0.007745198784823126j),(0.9882283814460951+0.0007873965277998204j),(-0.15981191840029396+0.002431005107166333j),(0.9871362650725624+0.004029283915989646j),(-0.1664417512390533-0.008899733078858873j),(0.9859960370700089+0.005454638096379739j)
