Ip,0,1,2,3
6000000.0,5972549.94028869,5970627.910075295,6012179.230173957,6009079.153717735
6200000.0,6172162.915991507,6169776.994330203,6242122.72960284,6211059.170776972
6400000.0,6369969.260630967,6368223.159563331,6429250.273924189,6397622.748726982
6600000.0,6567220.941399024,6566485.248869007,6599984.998766529,6581046.864628474
6800000.0,6765122.925114828,6765122.191100562,6773123.518273269,6768517.339491181
7000000.0,6963681.439068473,6964157.713103771,6954428.438614072,6958668.377915717
7200000.0,7161885.3513622265,7163070.806606879,7137008.458794655,7145624.51380958
7400000.0,7359073.601900903,7361404.115832635,7311770.120154114,7328026.871740506
7600000.0,7555994.895868568,7559360.106888189,7480415.832806795,7513360.2794918055
7800000.0,7754385.398661816,7757736.5164677305,7658501.170299735,7715051.538495244
8000000.0,7955398.262414338,7957225.220657462,7873645.946441868,7942052.9216706
8200000.0,8158286.746468485,8157718.338179807,8143917.786245502,8180951.981628903
8400000.0,8360783.900557174,8358314.120912292,8416817.110438265,8403652.460239919
8600000.0,8561038.984340964,8558075.364255095,8635754.127671609,8601890.952472307
8800000.0,8759037.044348445,8756781.151503805,8816190.993366182,8786550.120693509
9000000.0,8956132.51065958,8954938.967971442,8985757.786900114,8969828.659435486
9200000.0,9153535.060621558,9153163.000881014,9159839.211636957,9156903.311485631
9400000.0,9351348.089815807,9351619.490630489,9340190.592622656,9345168.360533288
9600000.0,9548989.45922063,9550072.61746702,9519016.034481341,9530414.055046257
9800000.0,9746382.436930958,9748391.786894256,9691302.96122472,9714621.259944744
10000000.0,9944453.699393006,9946871.425515365,9864307.933484832,9907491.637328163
10200000.0,10144274.34761481,10145947.387288922,10058429.843681803,10120477.367523408
10400000.0,10345687.896436451,10345609.171313874,10299289.04877924,10352185.899637785
10600000.0,10547009.130652612,10545216.043188104,10573289.84227513,10580082.592955023
10800000.0,10746451.656919926,10744047.866157638,10814384.969329514,10785887.722877236
11000000.0,10943828.748025134,10942059.2561093,11007394.475395717,10973482.86265302
11200000.0,11140636.032322545,11139993.472761476,11178337.538468206,11155906.451427834
11400000.0,11338509.82527104,11338674.17780392,11349381.259322437,11342583.704875523
11600000.0,11537583.06287944,11538135.89277614,11529985.766374802,11533777.848367948
11800000.0,11736376.796024028,11737497.31295987,11714973.055816438,11722584.058995536
12000000.0,11933518.916727323,11935831.875276612,11892555.876923293,11904817.100115072
12200000.0,12129488.896561518,12133188.754116034,12060197.324773613,12085962.481870586
12400000.0,12326511.272146389,12330695.14023572,12230281.52698017,12279765.122310841
12600000.0,12526693.991782166,12529620.699809281,12429046.158355068,12500317.80148785
12800000.0,12729953.655756358,12730223.207691956,12687101.91021681,12742644.45059484
13000000.0,12933719.22721229,12931430.942640148,12975288.710514462,12975591.522896433
13200000.0,13135132.213395663,13131759.622390691,13213233.09285039,13180851.050719507
13400000.0,13333449.0358265,13330567.63953788,13400668.012584258,13366996.549572948
13600000.0,13530090.48838001,13528374.764788337,13569601.383215643,13548529.264091108
13800000.0,13726834.15292577,13726107.260646407,13740372.47675657,13733666.849686224
14000000.0,13924237.858299213,13924195.009442842,13918764.001770357,13921681.49715001
14200000.0,14121680.824519753,14122403.51455208,14098419.096322116,14107539.741312655
14400000.0,14318741.26270612,14320439.95223199,14271816.15750426,14290815.391567923
14600000.0,14516187.843258513,14518526.028547693,14442484.394538943,14479620.18378545
14800000.0,14715335.662882382,14717205.166637048,14627962.612308016,14686482.202679275
15000000.0,14916383.135396603,14916584.969713973,14855539.613411047,14915140.034384573
15200000.0,15117630.079374662,15115945.66044122,15127713.243890347,15146312.906264218
15400000.0,15316864.880096076,15314345.437804522,15380871.082428385,15356673.384975806
15600000.0,15513602.758802874,15511678.8599265,15581643.164658016,15545729.32125016
15800000.0,15709610.31686042,15708986.349633893,15753328.08147703,15726829.813813541
16000000.0,15907196.994648859,15907563.32193155,15921625.90330277,15911919.147153962
16200000.0,16106883.08756182,16107615.036288776,16100311.988557559,16103750.067287063
16400000.0,16306678.341801753,16307798.844119463,16287327.503334746,16294997.05501754
16600000.0,16504109.283287082,16506386.255439168,16468795.289993642,16478110.436853025
16800000.0,16699009.950313602,16703000.616529092,16636998.071439061,16655697.863838492
17000000.0,16894043.48378339,16899117.00806599,16800451.683463573,16840924.080775306
17200000.0,17092614.995184395,17096889.85147643,16982654.153244525,17051864.96109483
17400000.0,17295873.51735796,17297332.97973054,17220792.6807796,17294510.587981112
17600000.0,17501228.26408988,17499346.9802582,17518885.24646829,17539674.791960277
17800000.0,17704449.21190745,17700642.83483875,17783243.4525338,17755368.153929822
18000000.0,17903478.230914187,17899770.06340552,17982199.351918392,17944606.403738383
