Ip,0,1,2,3,4,5,6,7,8,9
0.0,17546.557568978602,19642.348952901,19444.76013291209,18336.647182938264,19274.60511579791,19295.917237304562,17574.20113837431,18369.97684826772,17534.904865953908,15468.099218548257
1.0,17547.557558201246,19643.348163760907,19445.75951519737,18337.647950676925,19275.60485122439,19296.917102166368,17575.20128797576,18370.97332505658,17535.905402609562,15469.095026455503
1.832980710832436,17548.390547485196,19644.180504667198,19446.59199890025,18338.48158845929,19276.43762909128,19297.749987852425,17576.034410859862,18371.803388498214,17536.738847906854,15469.924532729241
3.3598182862837818,17549.917383166205,19645.70615187996,19448.1179078532,18340.009612815018,19277.96407724084,19299.276633629943,17577.56149144604,18373.324861206456,17538.2665194553,15471.444984182475
6.158482110660263,17552.716039536346,19648.502629762548,19450.914865506747,18342.810447982098,19280.762023232626,19302.074941866285,17580.360596750983,18376.11368735313,17541.066707968166,15474.231938406167
11.28837891684689,17557.8459183469,19653.628515281493,19456.04163044956,18347.944320438302,19285.8905997932,19307.204182404297,17585.491298580768,18381.225547515638,17546.199395240896,15479.340367464485
20.69138081114789,17567.248905100943,19663.024181826968,19465.438909014174,18357.35462733466,19295.291199067964,19316.605998709645,17594.895794373693,18390.595506192745,17555.607530125337,15488.70403730592
37.926901907322495,17584.484391941944,19680.24624895442,19482.6639311032,18374.603531357527,19312.522308104988,19333.839338440142,17612.13404876944,18407.770452598448,17572.852454263357,15505.867457461958
69.51927961775606,17616.076695820113,19711.813948321207,19514.23704740373,18406.220427016007,19344.106582174518,19365.427700993117,17643.731430642358,18439.251784938067,17604.46205947878,15537.3276659991
127.42749857031336,17673.98479486,19769.67692611977,19572.10995617947,18464.1735967773,19401.99994465141,19423.328556462544,17701.648854733012,18496.956468138236,17662.401881471516,15594.993641710702
233.5721469090121,17780.129252527924,19875.73860471856,19678.189844250413,18570.400649575226,19508.117329751687,19529.459672310568,17807.810462756894,18602.728044518528,17768.60452005995,15700.694308500666
428.1332398719391,17974.690075819748,20070.14745140816,19872.632089308285,18765.11280542233,19702.628325551937,19723.99582364854,18002.40291608896,18796.605303154618,17963.27209982654,15894.441727549492
784.7599703514608,18331.3165526236,20426.49453820656,20229.04046430397,19122.016460573544,20059.162784348096,20080.57634948516,18359.08802052436,19151.97854876445,18320.09463489984,16249.577439662015
1438.449888287663,18985.006849476897,21079.66996732923,20882.32846685729,19776.21410654363,20712.682113301013,20734.179975073217,19012.887961474567,19803.370788149838,18974.14556197884,16900.53584165576
2636.650898730357,20183.211419384224,22276.9215709197,22079.7871955886,20975.346218978782,21910.565581187977,21932.21747346449,20211.300806992364,20997.360006743438,20173.01537151465,18093.735147091764
4832.930238571752,22379.5068852537,24471.439401554748,24274.68728040812,23173.33359352808,24106.246585242134,24128.179175906134,22408.002398074153,23185.918529597217,22370.544238619103,20280.864031543428
8858.667904100823,26405.306653712207,28493.877860301527,28297.83498439297,27202.20603375895,28130.833412101747,28153.274948556318,26434.627389147998,27197.50196272936,26398.651200310425,24289.891049338446
16237.76739188721,33784.63053357125,35866.69945564444,35671.98450880709,34587.06108429849,35507.64497852094,35531.000279595515,33815.728791776935,34550.650341386914,33782.3553075165,31638.586010328676
29763.514416313188,47311.167956307276,49380.20254157445,49188.00936648314,48123.36716652783,49028.61967079163,49053.583331583875,47346.37217320989,48028.80928290339,47317.39967381652,45109.47089780791
54555.947811685146,72106.36908540834,74147.95560022091,73960.63947988253,72935.04601940334,73810.49309196853,73838.16972276353,72151.66916705696,72733.95133606027,72129.60480282,69804.95693432738
100000.0,117560.1838335457,119540.7514512886,119362.95675325044,118413.17067963805,119229.9300016361,119261.74794153965,117630.71973652855,118017.738328848,117618.01093946856,115087.86707627712
100000.0,117560.1838335457,119540.7514512886,119362.95675325044,118413.17067963805,119229.9300016361,119261.74794153965,117630.71973652855,118017.738328848,117618.01093946856,115087.86707627712
300000.0,317683.3609054429,319292.8446685593,319150.41562366625,318509.908779878,319080.03176415595,319119.0704258713,317857.6885207084,317305.7899556987,317870.16761014354,314850.2190024087
500000.0,517929.6956888425,519127.6048877776,518976.15284508537,518471.4367178928,518936.09897411615,518978.4234543728,517925.6419290136,516650.36203753593,518016.4971498383,515773.27250609413
700000.0,718227.6588055567,719042.0925792131,718834.0469427002,718319.4370222833,718826.2296437473,718882.2962578931,717652.1635274614,716351.4036020405,717886.3532309512,717703.0021180183
900000.0,918454.6620943269,918937.3334695093,918678.0387297872,918140.6573993312,918738.126254932,918808.8833853176,917200.1930609221,916788.7997940786,917539.1911578212,919644.9336759816
1100000.0,1118506.806225039,1118800.6360671364,1118560.0933420765,1118012.4742718108,1118680.883889025,1118744.5135100712,1116904.3687183436,1117986.8754590435,1117212.3100776058,1120512.5465994235
1300000.0,1318368.8708542883,1318731.7812063657,1318595.3080464387,1317958.261272689,1318670.912921001,1318699.5210386305,1316960.9480975512,1319402.3524410222,1317126.8633613887,1320024.5666830812
1500000.0,1518128.8121044026,1518788.9606794724,1518781.8078328734,1517954.689113816,1518672.626939639,1518661.7816555703,1517281.27691365,1520271.2019522716,1517324.8810151739,1518856.994403362
1700000.0,1717922.2922572892,1718867.5396224803,1718917.3252784463,1717966.6818605154,1718601.3350686985,1718579.3197889174,1717613.1700956782,1720222.6092682863,1717665.36532704,1717975.4030485423
1900000.0,1917847.7327278373,1918791.0828631842,1918772.2031082124,1917975.5948496368,1918419.8377444856,1918424.2637872119,1917766.578840553,1919531.5042795828,1917957.0855077861,1917826.7453997498
2100000.0,2117913.602335064,2118530.1379578845,2118366.537231889,2117987.5072365208,2118224.5848416868,2118268.48857177,2117717.3884524675,2118782.13299149,2118093.329197779,2118100.3035927447
2300000.0,2318051.003740826,2318288.4892087327,2318030.8879492558,2318028.0321598817,2318198.419681722,2318259.286562919,2317545.529591173,2318323.089963222,2318083.46870004,2318201.4856959847
2500000.0,2518172.093037781,2518329.1431198586,2518133.241525593,2518129.4078428084,2518443.88118945,2518486.6139093656,2517342.998394604,2518050.907992641,2517996.383239623,2517883.9253856027
2700000.0,2718224.158886556,2718702.120688099,2718713.995688823,2718308.5185340443,2718856.248034648,2718868.175976525,2717201.2238868503,2717687.419749569,2717900.505802244,2717387.908530823
2900000.0,2918204.0742814858,2919162.422333974,2919405.3388143387,2918540.987738352,2919181.9904892594,2919185.842024128,2917232.169760435,2917195.210090112,2917846.293331997,2917054.2861866364
3100000.0,3118137.2801489867,3119383.9552137996,3119750.4561351505,3118752.30453852,3119227.7634547413,3119259.717102754,3117514.687467592,3116857.036209474,3117863.0045843762,3116931.5941179814
3300000.0,3318049.4179289136,3319258.4991923906,3319609.831476298,3318846.875403092,3319022.442452425,3319096.7975672996,3317973.7904711394,3316955.016932438,3317932.712558776,3316798.398902167
3500000.0,3517951.5972461193,3518973.42787267,3519240.6472715163,3518767.475550425,3518777.4183187005,3518871.528924485,3518345.0721331188,3517428.3020099923,3517966.04649695,3516484.9919593423
3700000.0,3717840.411257896,3718801.7207142473,3718996.0223332783,3718543.7333988417,3718691.343905944,3718763.662680802,3718339.186610024,3717894.3657579687,3717843.2526567,3716036.4298704523
3900000.0,3917705.507803751,3918832.104059525,3918981.668523293,3918286.4070905433,3918788.506591482,3918811.399535785,3917901.262588966,3918005.6664802767,3917526.951918548,3915518.259230534
4100000.0,4117542.961973344,4118912.065416198,4119020.452008198,4118122.849821,4118932.8627483,4118909.2822109237,4117311.714200439,4117738.506256837,4117150.551004338,4114781.057451135
4300000.0,4317374.511656753,4318845.81295298,4318923.846406018,4318116.367784406,4318981.0329556605,4318931.915119618,4316996.509129318,4317316.681759215,4316967.543787239,4313604.832299777
4500000.0,4517261.2016220065,4518622.666045289,4518730.422868987,4518227.503536996,4518909.623930393,4518849.400490756,4517186.949764877,4516907.585453526,4517160.252022425,4512171.324571768
4700000.0,4717289.583261549,4718433.8790893415,4718634.25748018,4718344.733112541,4718803.078256786,4718730.987202072,4717724.041830236,4716464.81014603,4717655.44130082,4711315.671906075
4900000.0,4917521.363747625,4918474.405203192,4918710.4328657165,4918359.688272793,4918745.252238554,4918659.472046218,4918191.735517397,4915892.77047243,4918129.15514669,4912110.2219903935
5100000.0,5117932.364962322,5118745.553020225,5118789.43551058,5118231.494778386,5118742.636179145,5118656.780447676,5118261.363033616,5115318.837652195,5118235.318548081,5114948.677001162
5300000.0,5318392.363689568,5319056.917713648,5318655.447621036,5318000.173224539,5318746.002898639,5318684.537321746,5317930.760199416,5315121.386875057,5317877.3072217535,5318908.311749856
5500000.0,5518719.358537125,5519209.800475461,5518341.503100491,5517751.5399550535,5518719.536356202,5518694.868207403,5517467.634041955,5515629.66800434,5517287.506302518,5522185.73201872
5700000.0,5718783.303056378,5719162.002893366,5718150.271106033,5717566.963685213,5718667.928772823,5718667.613631222,5717158.05220958,5716776.537807219,5716852.262007712,5723404.319686617
5900000.0,5918586.308448851,5919018.1727578,5918334.653724718,5917491.017784487,5918603.421965316,5918608.573620985,5917103.60119486,5918068.377588603,5916834.721236504,5922548.978245712
6100000.0,6118258.845546142,6118890.691998217,6118776.307354848,6117528.394029518,6118515.9742138665,6118535.656339991,6117212.770901646,6118935.643025545,6117214.8647253215,6120729.127064649
6300000.0,6317975.7796295,6318798.2625936335,6319047.966641342,6317660.120429052,6318399.024100763,6318480.2330734525,6317334.436843783,6319132.72286444,6317752.303542941,6319196.007396262
6500000.0,6517854.52573674,6518698.242667927,6518842.605111867,6517861.810361423,6518299.426502733,6518491.272991663,6517380.266790663,6518823.14517221,6518187.119832908,6518508.368295812
6700000.0,6717904.026174214,6718586.483241621,6718318.017977574,6718112.3975169975,6718313.399239596,6718612.8630327275,6717351.287862929,6718339.898760006,6718397.199715763,6718411.787447785
