Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,99970.4737771348,99996.28971523038,99969.48801956256,99994.341779381,99800.04022652251,99898.52456074713,99840.6982449802,99952.94611352072,99847.71281941519,99918.79587858787,99964.79866842424,99802.85270041868,99941.15173791832,99953.96507467957,99951.1513038463,99979.50531199141,99848.03339979463,99976.83642782233,99960.98432361387,99822.41291436604,99930.54932992988,99878.91867159033,99835.39388867328,99947.3774166239,99960.8183847156,99918.26335848874,99937.21241004168,99608.42050183496,99913.6905711198,99976.6174517358,99968.53069844957,99518.37439901652,99992.46437343671,99698.98851759492,99888.00897809725,99994.48432492788,99598.77275526096,99931.84852227103,99751.79577074232,99902.86553281132,99989.55108141745,99988.20486787528,99905.77928254614,99961.71239122207,99981.54356379721,99940.73018314825,99648.40984823476,99991.85186957868,99982.24190706042,99708.9274571948
200000.0,199956.75710509843,199994.19039076558,199955.22729032167,199987.7600347852,199663.4866357602,199793.94257289948,199731.4820473043,199924.77924930802,199672.0595342942,199867.70227688143,199947.85410394665,199692.7576479864,199904.56959116991,199931.71432554585,199925.77149715784,199968.00541287274,199672.71107740802,199949.68974481896,199939.7287762756,199616.67309958546,199849.55225986155,199792.23891736846,199643.946771875,199911.90108046593,199921.83893050466,199821.8263734919,199871.60007047746,199178.32352477426,199831.13960077844,199954.50862481,199952.94833836696,199168.57770594925,199984.2773715107,199436.01885850925,199756.6059303045,199988.5253339601,199240.38782395344,199864.46519172686,199459.4241159869,199832.48787261426,199977.75289502754,199974.4669017518,199859.82494042843,199931.05353979697,199959.89118042667,199912.30705575747,199473.09532089962,199983.1378583977,199963.23128268734,199519.19088145575
300000.0,299959.9758972775,299993.2230107991,299955.22227397753,299980.61763841694,299548.91926357435,299670.6564909969,299639.45707517664,299924.5438607646,299466.0743492416,299831.2886591656,299946.12511409534,299702.9429985373,299879.04861509625,299929.0797115457,299930.43670880556,299962.2684542683,299467.93002094986,299920.3599930885,299942.3190997552,299404.9174150267,299764.0729561562,299768.9223836285,299422.02000739967,299882.8273630485,299876.230516966,299715.6827950066,299793.8792469377,298782.6879414476,299773.5570332434,299939.4233002341,299956.49962509517,299067.3659080325,299976.8392282969,299288.1830613945,299613.65720888885,299981.5312721416,299027.078261643,299814.038475859,299132.31739177986,299812.2890056221,299966.23315807513,299960.12150500354,299871.1596968949,299899.8895046341,299936.72386770986,299909.22862914624,299434.97848526697,299972.88090971217,299940.74135069037,299371.91983188107
400000.0,399975.6526043165,399992.4796071154,399962.33242809353,399973.8387052982,399404.72447211563,399521.4955402848,399523.7107340533,399953.7705859296,399240.29091079393,399787.8290458332,399951.0263457834,399832.6990792609,399848.71131175826,399934.7055474357,399962.78325923893,399956.7262677117,399245.0435596462,399892.990279552,399967.94700710726,399224.58246725023,399687.73656201,399823.5470493178,399184.9753815364,399846.5174781439,399819.97852141625,399613.54013475735,399700.296725657,398514.36439574696,399760.4665999667,399936.51738120225,399976.5059105645,399276.7105150919,399971.877592759,399315.8145587025,399478.6159938833,399973.4429509107,399042.59050148673,399796.4451930526,398807.3142203153,399854.4172420328,399957.316591327,399947.55138271477,399931.06348083727,399859.956034017,399915.5195961335,399916.6287670434,399443.327905775,399960.8753783775,399914.2587169209,399189.2607236539
500000.0,499995.19394643616,499990.95971260703,499966.78770211537,499968.72378313716,499189.9268120906,499352.9637920544,499351.8596590261,500005.8761169705,499023.49282400147,499717.8194455963,499951.49990859634,500047.018485389,499799.19895556726,499934.1214996068,500012.17754919326,499945.5710859925,499033.2593851335,499873.2132327474,500009.0827441378,499119.76177000353,499637.7183024472,499951.45797216037,498966.5241016292,499791.9130116972,499754.3089389172,499535.2652136124,499595.66476350743,498461.9577071925,499803.9318313439,499948.83156228,500005.1949110022,499782.6917918075,499970.989129071,499543.9871615111,499378.7005930459,499964.898106221,499326.69487942854,499822.63646397897,498542.71731002704,499955.7266842722,499953.4437890136,499939.6472712797,500015.8174625339,499806.4844928165,499900.8178160631,499915.5971563846,499388.7469968706,499947.9745514879,499885.6454003282,498905.2482510047
600000.0,600008.6189081337,599987.9365812901,599959.5263507343,599966.6215085422,598891.8945315084,599186.1833000939,599114.1017151996,600067.8663417844,598857.4329800586,599611.8967716879,599937.8591537846,600286.1892913493,599723.4543325132,599914.7941922958,600062.8015206616,599924.953895705,598874.0994854646,599866.7200196064,600053.5956756286,599129.5069092665,599630.2624634986,600129.1615402271,598811.906030866,599715.2670734896,599686.4789389343,599502.0477111589,599493.6904042503,598684.2000453504,599904.4810186493,599976.2659756965,600032.0361378433,600494.7246904287,599975.1742997231,599952.5951568303,599342.1306621212,599957.1690804035,599859.9780260464,599895.071805704,598404.7578895941,600097.923371096,599956.4920776874,599939.0485498997,600093.8820414811,599740.7853746081,599897.0614130626,599889.7881075217,599182.398574568,599936.0360707192,599859.0365934054,598493.2551259302
700000.0,700007.7275116383,699983.2426943984,699935.3573419689,699968.5473280216,698535.3881292769,699053.0656327722,698830.3816069678,700123.8843287114,698786.7784730297,699475.7052916613,699905.2510410752,700482.7603349084,699625.3099645091,699870.6372516423,700098.2782422167,699894.6133715736,698811.2645068751,699877.6452012812,700088.228200439,699276.2337728118,699675.961805685,700320.0073823839,698766.5898386698,699622.6577253634,699628.6211395012,699530.5726075213,699414.3777504341,699189.8315203526,700049.9626297646,700015.3576307958,700046.9079873693,701266.8902392864,699984.4985381926,700478.3823525195,699390.2342081153,699951.8824826047,700564.0626497114,700006.2625417738,698449.9214212557,700251.9512774132,699967.1900348179,699947.3740345064,700135.4354080221,699670.9568093265,699907.3335236254,699831.3240121931,698789.0762821393,699927.5263061965,699839.9703421064,697981.4282616464
800000.0,799988.7759013764,799977.3872394053,799894.9960468031,799974.8580883287,798180.112214262,798988.6232478723,798548.3882921932,800159.6023493299,798846.9086765427,799330.1697979508,799855.6922915879,800580.9302568303,799519.7458597485,799804.6156849802,800106.5002080844,799858.4279738081,798878.5692784259,799907.2267289447,800102.4266870976,799557.5241915827,799776.1414616413,800483.6492946394,798863.4814052341,799529.464286775,799594.8978060953,799627.8218170076,799379.1345510546,799929.1754782744,800217.7715771367,800059.946827342,800043.1754997101,801936.1361958461,799997.9807194694,801029.0267952367,799530.6273409091,799950.5945511742,801318.3337643056,800139.9210045837,798707.8459277463,800385.4554685156,799984.7963706332,799964.6628474906,800121.4665447192,799610.4336555392,799932.3476235906,799744.202804574,798243.9225920227,799924.886179107,799833.9728718776,797451.4218993643
900000.0,899953.8640016861,899971.4668408517,899845.3490887174,899985.0784052238,897907.2756022952,899021.4475582336,898332.7697045569,900166.2034159873,899052.8968932675,899206.9810198693,899798.0513749628,900552.5955945018,899429.6546132056,899728.6406239835,900083.256206322,899823.6961747014,899089.2618720782,899953.1366496382,900091.4225614051,899943.869853911,899921.4330697181,900586.6170754102,899112.175660243,899456.8721289033,899597.7190009404,899788.0178170761,899404.8911749398,900800.9099358704,900379.9316771566,900102.5693495773,900019.7794261676,902365.9859185808,900013.748253666,901505.6657023828,899753.4724809673,899954.340410702,901989.1031149295,900274.4826190459,899169.6596100747,900471.228723102,900007.1438564843,899989.1922830835,900049.7455569048,899574.7216620746,899969.988965278,899644.1563421289,897648.0687090342,899929.8338801998,899844.9888084731,897020.6734415127
1000000.0,999910.6149840286,999966.8908472116,999797.9314853831,999997.9341275007,997798.6374207056,999164.9650197476,998248.3693811777,1000142.81517498,999392.870573105,999140.4664066021,999745.9442844241,1000405.3784440265,999379.955817,999660.7375090128,1000033.60365445,999799.3186784808,999429.8449509874,1000009.7002163808,1000057.6731202796,1000383.3763956487,1000093.048926802,1000610.9774317534,999493.4378224376,999426.327734218,999644.0698772513,999992.687592835,999498.8650801331,1001673.2313174184,1000509.6796186736,1000136.2047894092,999981.72318232,1002482.2532595393,1000029.4244788372,1001827.4118432514,1000032.0553011608,999963.2864250377,1002462.8054360695,1000388.0812698836,999785.5204860759,1000494.24014918,1000031.0491487123,1000017.7381807759,999935.93793444,999577.1927252985,1000015.5590542116,999554.9384549148,997144.6822939065,999942.8033971479,999874.1022268169,996812.7834125373
1100000.0,1099870.2176541393,1099964.99665378,1099765.836292671,1100011.5912037895,1097913.5076605296,1099411.9912523413,1098341.9206721976,1100096.7096852711,1099827.9307198653,1099158.0445262494,1099714.1112834385,1100180.4736797344,1099390.662554333,1099620.2512440977,1099970.5886211693,1099793.3763625154,1099860.4574648514,1100068.9769625356,1100010.2466854935,1100812.4687595598,1100266.5176772252,1100558.6468623595,1099960.843739277,1099453.4628929957,1099732.9975446148,1100213.9838600284,1099655.4891291906,1102413.8965777324,1100587.7419347642,1100155.9088874157,1099938.80626026,1102290.303754111,1100042.6491723454,1101950.71169563,1100327.74798212,1099976.5889280348,1102673.3284694247,1100463.6272788988,1100472.7864719213,1100455.270305745,1100052.9877443193,1100046.2215439656,1099809.5561639678,1099625.108385663,1100062.6821885335,1099502.0384350829,1096881.8062701435,1099962.684589228,1099918.9252483945,1096923.4727833162
1200000.0,1199844.3705391677,1199966.6633573405,1199760.0931490823,1200024.040978646,1198269.9196670102,1199734.3175930493,1198627.2050612129,1200041.2245209136,1200299.0709704317,1199271.9049629516,1199714.2784024482,1199941.1310777809,1199470.8307329535,1199622.412650101,1199911.6730719204,1199810.7797989624,1200322.1180927306,1200122.4356276286,1199962.3247271285,1201169.8074850938,1200416.93523868,1200450.2252859585,1200449.5605844357,1199543.194200368,1199855.019248386,1200420.4767943423,1199856.4797171091,1202920.4594441762,1200606.584443437,1200159.890268902,1199902.9532049429,1201869.9184593295,1200051.5955583628,1201878.1568565546,1200598.1600247931,1199992.5067873942,1202615.7019688687,1200492.603465297,1201133.1437411138,1200370.1855122163,1200069.8590018265,1200070.5775317135,1199705.898981047,1199717.0109707522,1200104.648444711,1199505.54504585,1196971.3344968043,1199986.94950729,1199973.8530914271,1197390.9755088205
