Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1000000.0,939261.7205055435,940874.7920913388,929626.405875711,940582.2335252383,918342.8024714863,943492.982841583,951034.9028833011,934547.0439982773,955645.0739560112,952659.4332527173,940716.4121953286,947661.7571384956,945492.0582897179,940123.4662076882,954144.964335683,944713.5873540413,942703.7047377249,946504.6991304115,948949.0199124018,952468.9224276019,945823.1668929318,946293.398231433,947394.8896488006,935335.13345118,943291.3636225648,935587.7593424573,933692.7074105144,946714.1638457549,946368.0553185033,937104.6456091994,952330.349051835,938175.2192314263,943377.2506111364,941551.0811884543,940531.3178650356,952037.0095194074,933368.843893104,944747.2392664592,942120.5962026946,947786.4247620198,957094.274622417,940266.4080340317,943602.1186320973,932549.4984867972,947896.9120130363,949282.2349963137,924876.8213689594,934958.7517893184,927763.9744196774,931969.3899732139
1100000.0,1046743.2182717852,1043006.5012814844,1033473.5918358433,1041901.4966578835,1026694.881445935,1049916.4719592787,1056586.1172290803,1040666.0890284166,1058739.0990633226,1054904.6359035552,1046191.8026699051,1050965.6806771539,1048673.214575894,1042087.7742487692,1062038.7773318877,1049954.3422143217,1043253.9432034458,1050328.2204456239,1052446.4306692192,1054299.9061803753,1046913.5318520465,1048117.0021119056,1052156.475769894,1039178.7755538996,1047013.3749717838,1041215.707054848,1035035.8702136708,1053803.125818924,1049876.7381989069,1041475.8537528475,1054976.8942434804,1043056.6223953052,1045945.9356325148,1043724.7103004986,1046663.7726160092,1056018.7846391466,1039288.5983377578,1045530.3307076922,1045201.1260022325,1049269.7190006452,1056363.005277548,1047143.2753986922,1047775.2583721719,1038203.2501478008,1054701.0704219497,1049636.608487322,1030775.6280307143,1038156.752543332,1031754.2795724052,1038533.1619622868
1200000.0,1156576.0653879822,1147508.4088457206,1141084.1539955502,1145671.805701811,1140288.270952643,1158191.8436612387,1163058.1249285978,1149904.387103722,1162398.0176037478,1158149.767802648,1153978.6622375369,1155801.2815629763,1153621.395778622,1146551.082003523,1170205.2449355468,1156976.6651775914,1146043.3973528822,1155814.5478593365,1157298.3775620623,1157208.1852218795,1149833.456829224,1151742.068279965,1158359.5359304082,1146056.8994965605,1152788.4385630284,1149824.6118120933,1139596.1760588838,1162300.743892366,1155085.491967481,1148673.8244943763,1158645.3942520323,1150545.101366196,1150625.5613306651,1148233.7750000043,1155119.1125305116,1160931.144682326,1148419.3927270155,1148306.9672649773,1150513.803615928,1152350.4849787268,1156330.4147900841,1156307.071505818,1153977.0847287786,1147165.5831542942,1162789.8485295796,1151474.3571874872,1141022.8321802057,1144459.0859577586,1139695.6790296275,1148462.6077378953
1300000.0,1266503.1347141508,1253246.9274159116,1250919.7970585227,1250929.4312347202,1256389.3787744287,1266360.6969435757,1268811.9765587652,1260244.6168521792,1265499.7407844402,1261364.0945673187,1262270.381426542,1260878.9741684985,1259038.6446471768,1252417.6724001684,1276681.0611380918,1264078.313163951,1250273.062806175,1261563.8848702093,1262197.5933673303,1260234.7885091058,1253682.7300879417,1256144.4168379605,1264436.7933606703,1254451.4818231282,1259195.6531121538,1259514.8545224643,1246391.9491509902,1270188.1014332073,1260652.4782116362,1257084.2420778195,1262232.53510051,1258918.4543223602,1256222.1260181954,1253951.634986143,1263955.1683905355,1265433.688960304,1258760.8175620004,1252237.3771695853,1256755.7554746238,1256072.9562385362,1256506.696392911,1265651.3303170437,1260706.188339057,1257489.231901461,1270226.3144516665,1254055.3985476575,1253559.319707996,1252491.615704992,1249998.787370506,1259595.8517881813
1400000.0,1374247.2578848244,1358736.9706714773,1360723.6449591224,1356297.7700371658,1371278.5244646855,1372509.9768574997,1372433.9593131284,1369302.7125103567,1367079.0386596434,1363531.6119485158,1369107.5858904338,1364847.2793350338,1363495.5765689588,1358193.2808175012,1380048.1334705509,1369542.4396513463,1354759.8185427927,1366105.5486713035,1365828.9365737217,1362395.5644679528,1357314.2462805444,1360091.958164353,1368865.644040237,1362373.649319437,1364629.4102810975,1368035.4794416407,1353792.5434595456,1375657.3739882759,1365136.4466874714,1364716.46021538,1364663.959449708,1366178.1841185438,1361285.3935640568,1359409.302558478,1371115.01615237,1368313.247829759,1367911.5570154437,1356175.8948516739,1362353.6828736663,1359312.4016831785,1356357.180914676,1373018.2110884208,1366308.1030703834,1366770.8442968533,1375292.1102129808,1356452.4555068042,1365519.2009354073,1360349.8840208065,1360301.509209363,1369357.6822400375
1500000.0,1478257.8375644218,1462577.5639830276,1468259.5007987786,1460376.8675108536,1481740.3941724862,1475360.4411310349,1473113.9539400672,1475139.5949319354,1466565.4720702933,1463918.196240236,1472999.8423714053,1466677.4439048313,1465847.7441097803,1462420.9981394138,1479753.8892991433,1472154.1522299617,1458255.7219207922,1468325.806520196,1467238.3283168909,1462940.1048852224,1459650.0952952541,1462490.0388644508,1470607.305387425,1467999.4037716312,1467782.3256868082,1473536.1069495727,1459984.2536257913,1477637.8392405307,1467415.3342453118,1469842.2560888103,1465178.9609990898,1470692.5438395084,1464532.9632375003,1463224.3045620325,1475086.5530958746,1468804.982273192,1473890.2433140564,1458983.0351016168,1465934.753688064,1461084.6506128998,1455430.7486176817,1476896.5308135292,1469475.3383029632,1472973.1308246658,1476978.063019194,1457795.1947445865,1474263.7959448807,1466194.700865952,1468254.0253658232,1475661.61352706
1600000.0,1578033.6939044576,1563842.4828679475,1572036.778087359,1562143.2595999227,1586167.4711963614,1574513.508636754,1570743.753988987,1576798.296916707,1563861.0396277898,1562218.1734299376,1573285.390344507,1565893.0339900192,1565510.748791975,1564096.1379319641,1576049.9191357621,1571455.6126503262,1559797.0285065908,1567718.9546207795,1566032.039965036,1561510.7642302117,1559964.0416046975,1562660.3114108539,1569307.903675627,1570207.8853434226,1567972.8558284822,1575077.069925163,1563536.7505209583,1575942.3273845606,1566947.2965002405,1571482.157212105,1563478.9410269507,1571629.623932537,1565188.0069689369,1564483.704816316,1575253.6080889695,1566713.7593585278,1575694.8396052928,1559833.2206393157,1566692.1500430612,1560790.3311788011,1553457.416641548,1576749.7422762641,1569565.5737558042,1575018.0774333798,1575117.988090959,1557488.4749567688,1578257.8820261378,1568808.7658472664,1572294.2186424178,1577499.8937744156
1700000.0,1673978.4773746047,1662245.7251243442,1671606.3176214534,1661167.9416203434,1684628.3478160708,1670333.8576445102,1665775.8612759928,1674336.583518395,1659267.9487739254,1658547.6357780416,1670113.4676612825,1662577.896928965,1662499.1538266193,1662861.7588296907,1669713.1368310605,1667687.4935111804,1658920.381210384,1664388.682505978,1662359.6684978446,1658158.3744434603,1658012.0306787447,1660441.588017547,1665233.1361581057,1668754.0460126312,1665195.5009819865,1672678.53031321,1663760.7081807957,1671083.6727576759,1663790.980904558,1669516.467648776,1659710.0328846336,1669005.116574598,1663088.7983378507,1662905.9458627126,1671841.5176732,1662337.634588519,1673351.7117200822,1658382.4148632148,1664490.2623938557,1658300.7916474557,1650385.7160254556,1672909.930245264,1666627.6445937015,1672871.0256105457,1670214.362744956,1655319.5445134388,1677279.1774817791,1667824.631678571,1671959.5738411825,1674963.37804928
1800000.0,1767036.7706454154,1758068.7912547702,1767402.8697602896,1757599.046674394,1778271.9835254326,1763653.1207429103,1758980.765133658,1768519.9645350853,1753335.2159494655,1753328.8409615078,1764188.8267653,1757226.1602536705,1757283.7063578765,1758954.0296635502,1761736.379075041,1761549.9549639453,1755681.5325029544,1758877.455443381,1756753.7479313496,1753246.40687798,1753993.9358451632,1756117.9018979394,1759052.3835887543,1764105.1385399792,1759958.0194831747,1767045.829017803,1760729.0331875836,1763963.0424510897,1758450.3362926242,1764489.3205393308,1754333.3691286119,1763452.130132626,1758587.0472056612,1758769.3122904599,1765628.529801578,1756284.5720398324,1767611.7085687052,1754757.6269445827,1759739.7049684485,1753891.725044955,1746358.4067178385,1766249.595728562,1761217.6981852644,1767251.736757914,1763142.6010360003,1751437.2502813113,1772079.7116833858,1763608.6447791052,1767712.2928318658,1768891.3614507257
1900000.0,1858337.836898948,1851956.7778491303,1860382.9209623786,1851989.925363277,1868676.630635643,1855468.199650221,1851210.4614978721,1860442.7668488056,1846689.8600620185,1847132.5268696733,1856466.747630387,1850537.0029085486,1850577.988319203,1853001.4934925654,1853078.6103275465,1853933.3421322678,1850526.3715411194,1851941.7617377965,1849925.4015151013,1847304.9498603384,1848409.6543662946,1850252.5376259836,1851596.7408404094,1857136.2128947647,1853040.518287441,1859214.2885067693,1855063.9015467477,1855580.9826509643,1851657.3103420625,1857302.369728541,1847956.3392309423,1855910.74945105,1852343.0354003247,1852711.598672783,1857624.3766176149,1849271.6865574871,1859566.2908449133,1849423.587109152,1853168.9453655789,1848092.1754539793,1841645.7228284143,1857843.6589336498,1854147.9811319376,1859248.7139602727,1854874.229888531,1846243.874788625,1863894.997907363,1856976.3760267282,1860551.679674794,1860457.033310457
