0 Ex,0 Ey,3 Ex,3 Ey,6 Ex,6 Ey,9 Ex,9 Ey,12 Ex,12 Ey,15 Ex,15 Ey,18 Ex,18 Ey,21 Ex,21 Ey,24 Ex,24 Ey,27 Ex,27 Ey,30 Ex,30 Ey,33 Ex,33 Ey,36 Ex,36 Ey,39 Ex,39 Ey,42 Ex,42 Ey,45 Ex,45 Ey
(0.9994956039957688-0.009386721475161425j),(8.839042120253618e-13+0.03033854070109631j),(0.9941697282980032-0.023816929139127904j),(0.10452846326791519-0.011537139503245922j),(0.976804299773027+0.02133982391118771j),(0.20791169081864+0.046590778916739156j),(0.948959830226099-0.050028806089564185j),(0.3090169943755354+0.03848189658016068j),(0.9134866179280657+0.009848405979044239j),(0.40673664307584834+0.003242058638145631j),(0.8657937164425373+0.01670788481204817j),(0.5000000000003793+0.011049305506762962j),(0.8072931949760682+0.05007531286481086j),(0.5877852522924077+0.016693039663271958j),(0.7416685537318579-0.04481876342524052j),(0.6691306063586102-0.01353759518378274j),(0.6687413281129895-0.007017977001115084j),(0.7431448254767717-0.02171525819424606j),(0.5868399531089402+0.03264188595992554j),(0.8090169943742461-0.006699218506954825j),(0.4998732413182498+0.010930978895305053j),(0.8660254037838885+0.0026937546716252793j),(0.40648098586208703+0.0010795940193416426j),(0.9135454576420633-0.014378436278226141j),(0.3084187020667816-0.017638103559528735j),(0.9510565162948139+0.007635727232098176j),(0.20788577849104162+0.003024988971064923j),(0.978147600733196+0.0012742533902853305j),(0.10443344546896491+0.0029151261555685933j),(0.9945218953676762-0.0033700356340584173j),(1.8328858723502416e-14-5.460163571280319e-13j),(0.9999999999994545+3.331016018570665e-14j)
(0.9996463487475549+0.01564133473948661j),(1.902968683455045e-13+0.021506419553829474j),(0.9941943588184253-0.025193589462739356j),(0.10452846326723633-0.004081704220672235j),(0.9772884169472357+0.04074412150343161j),(0.20791169081796815+0.004471630987771381j),(0.9493655214284625+0.011192617233644304j),(0.30901699437396385-0.055572738183383694j),(0.9125894212405965-0.020317825001366155j),(0.4067366430762335+0.036510784774901564j),(0.8654868773576155+0.0008213646639686108j),(0.4999999999992584-0.030525243347705858j),(0.8084743904746553-0.028897144066026267j),(0.5877852522924361-0.006527801913198655j),(0.7429444138089611+0.0017271708450579387j),(0.6691306063587933-0.01717109500617801j),(0.667967855161473+0.03942377255814862j),(0.7431448254770617-0.0006920937739667427j),(0.5876487889389319-0.012664292489599372j),(0.809016994374513+0.0001391633587153572j),(0.49945851833025173+0.01632830502663187j),(0.8660254037843905+0.016570302389622895j),(0.4060997072901869+0.022180777970263424j),(0.9135454576420114-0.005073228557782163j),(0.30833571625138406+0.011893007376716308j),(0.9510565162944754-0.016707641125886772j),(0.20786008592908137+0.00037794652845836267j),(0.9781476007333226-0.004616601837862781j),(0.10436549907855698-0.0021608253992007748j),(0.9945218953677927+0.00541969267240787j),(1.1706933367678413e-13-2.4009440269257e-13j),(0.9999999999994641-2.151265277028358e-13j)
(0.9997226526903381-0.012492843281920525j),(-1.7723475743309568e-13+0.019963631014478272j),(0.9934471432269093-0.0015838275526926038j),(0.10452846326717234-0.04619594647104441j),(0.9778953868696088+0.012805041307046459j),(0.20791169081795866-0.01814861086270691j),(0.950500624125859-0.031895759426858905j),(0.3090169943744694-0.006302479948458043j),(0.9131515533248197+0.020211941614019187j),(0.40673664307572066-0.017635794706790338j),(0.8653287396211128+0.01917665518511149j),(0.49999999999957667-0.028955626066445382j),(0.8087811759468113-0.006865437628606209j),(0.5877852522924322-0.01828585208858538j),(0.7427830596867101+0.010931678287482247j),(0.6691306063587917+0.020446424749242867j),(0.6683360165009217+0.024847793439187787j),(0.7431448254770825-0.02110271485763148j),(0.5873646337235316+0.017965703642221467j),(0.8090169943742624-0.013096692558865915j),(0.49962105213797814+0.01818359445096766j),(0.8660254037841375+0.0069398236861936136j),(0.4064671696512269-0.014411950988216009j),(0.9135454576419412+0.0033811958086706687j),(0.30877824089004874+0.007122004830234731j),(0.951056516294589-0.009837571475264307j),(0.20781775295316027+0.0043291692849069426j),(0.9781476007332014-0.004506775964851311j),(0.10452165424800214+0.0003309731792096506j),(0.9945218953677113+0.001146247418134481j),(5.282097149796401e-13+4.285322097175026e-13j),(0.9999999999994555+6.9409755720784e-14j)
(0.9988702360116715-0.04323513783085982j),(9.198882854788934e-14+0.01972243558790005j),(0.9935350503127486-0.04225156557396034j),(0.10452846326716142+0.013293207753645382j),(0.9778334248859769-0.007745344658029576j),(0.20791169081752442+0.023548495325105705j),(0.9499869226423767-0.043054848743755744j),(0.30901699437500524+0.013402387635979672j),(0.91303708694517-0.02691651399367235j),(0.40673664307572677-0.014285738182717915j),(0.8652091157463017+0.02717994126770822j),(0.4999999999998812+0.02596992146919309j),(0.8082259855488335-0.007134695302074308j),(0.5877852522914118-0.035047818678601905j),(0.7429237438251464+0.017420558851475088j),(0.6691306063589751+0.005006657832006992j),(0.6688167761495157-0.018811979764023143j),(0.7431448254772652+0.008123898297830268j),(0.587594613522913-0.0028902472010024355j),(0.809016994374938+0.014687390557787155j),(0.4997854613609992+0.0006637767068869305j),(0.8660254037838575-0.01463051648319816j),(0.40654144664667785-0.0046661177962278606j),(0.9135454576419987-0.011703688465017348j),(0.3089961463031121+0.0035800473918157294j),(0.951056516294618+0.00026008258872738024j),(0.20747548559259613+0.010725996184273388j),(0.9781476007332138-0.008133084454035992j),(0.10441906495526994+0.0015607611239980314j),(0.9945218953676358-0.004519129546141896j),(1.3477996696446387e-13-3.485406407932601e-14j),(0.9999999999994649-2.994965386804438e-13j)
(0.9961165142627698-0.04159037676583849j),(1.052497475943249e-12+0.07760238767107827j),(0.993728806653578-0.023592618090759555j),(0.10452846326784863+0.03194131437673315j),(0.9711159409072689+0.11691379542973054j),(0.20791169081814576+0.006141870557428583j),(0.9494360332289162+0.05528869437394107j),(0.30901699437485386+0.004782914102558994j),(0.913263406601488+0.0020047727526828745j),(0.4067366430749852-0.02261048933075316j),(0.866002729257222+0.006235437408189281j),(0.49999999999996947+0.0006262892592180937j),(0.8071784781131383-0.05421281921509939j),(0.5877852522915847-0.005689630134388241j),(0.7424229568849919-0.023861507218582864j),(0.6691306063580017-0.022427955707501973j),(0.668948529737476-0.0010912612738965995j),(0.7431448254768421-0.015570551588630872j),(0.5876103205638105+0.014337650459765379j),(0.8090169943745383+0.00021391177195103327j),(0.49970472147925493+0.014104895483185186j),(0.8660254037838728-0.009810364652421903j),(0.40648562375353364+0.0003244910727490599j),(0.9135454576423915+0.014283879273953668j),(0.3088772646263779+0.0023384401910218934j),(0.9510565162947846+0.00899276968142417j),(0.20753548847973516+0.01140706435906546j),(0.9781476007332999+0.005115768054236639j),(0.10446312311937962+0.0008072777390684648j),(0.9945218953676856-0.00360608429803981j),(-2.7099648073271863e-13-6.144347183822951e-13j),(0.9999999999994532-2.7632887297790454e-13j)
(0.9981221886866206+0.038723648130707514j),(1.5587238897978917e-13+0.04746130556205963j),(0.9931149813581306+0.02764884204356352j),(0.10452846326675334-0.04507744116041896j),(0.9761305903534209+0.05375892993607692j),(0.20791169081810046+0.03243110926787422j),(0.9498384287343135-0.0046904545670746894j),(0.3090169943740988-0.0478900419949633j),(0.9134867817292489+0.002226906952441183j),(0.40673664307513147-0.010111561211296732j),(0.8649947826824278-0.041339309015489184j),(0.5000000000001621-0.00866530212796894j),(0.8085781076707672-0.0004753835091240513j),(0.5877852522919066-0.02664047659196697j),(0.7425895701504188+0.02141417196502611j),(0.6691306063583244-0.019141451780194947j),(0.6685255115317972-0.028276182203150167j),(0.7431448254769366+0.0031410693871964067j),(0.5875854301547546-0.006982132431459012j),(0.8090169943745643-0.013642393800292672j),(0.49941071158051126+0.022232085570081953j),(0.8660254037841265+0.009730135111182757j),(0.40672391098467786-0.0027574182271695963j),(0.9135454576421947+0.001659427086093786j),(0.308985373799781+0.00424681298956074j),(0.9510565162946562-0.0012272610202942215j),(0.20774344552062157+0.005957005965988995j),(0.9781476007331934-0.0058690801625664j),(0.10450421716451128-0.0020428412587122895j),(0.9945218953677444+0.0009460589190337203j),(7.545179500124074e-13-4.398660255477971e-13j),(0.9999999999994598-5.585245807515626e-13j)
(0.9993555695188129-0.03476775635305244j),(-4.1246033449861754e-14-0.00892461700463064j),(0.9944983567861269-0.006678702681283925j),(0.10452846326724165-0.00148783263581595j),(0.977417108307178+0.000790963246436455j),(0.207911690817202-0.03778755861215362j),(0.9508487226508777-0.016139505140901574j),(0.3090169943749468+0.011606902828838974j),(0.9130541150524313-0.0014507185604934582j),(0.4067366430754023+0.029922927330638605j),(0.8656946100807045+0.02089135952743779j),(0.5000000000002652+0.011678748771717618j),(0.8076863374475715+0.043303627881164736j),(0.5877852522920419-0.016615453640338916j),(0.7428567623818337+0.017865338415731524j),(0.669130606358458+0.010435128178355107j),(0.6678596682681907+0.005779382390577011j),(0.7431448254776245+0.04081458813453964j),(0.587404551295755+0.008745023531628869j),(0.8090169943743847-0.0192592962695251j),(0.4994829961257018-0.010200013289711325j),(0.8660254037839629+0.020314928251956646j),(0.4062860475334198+0.01802498961509774j),(0.9135454576419971-0.006437713075420529j),(0.3089645900911957+0.0035997722914641907j),(0.9510565162946185-0.0044075527996759074j),(0.20785725769131178+0.004754791432165244j),(0.9781476007334009+0.00015349878573081913j),(0.10452508222267798-0.0008376161093253774j),(0.9945218953677708+7.223998104886713e-05j),(-5.922475925294788e-14-6.649437944705738e-13j),(0.9999999999994632+1.5158523308106409e-13j)
(0.9995232233000392+0.030063266512501716j),(-2.203226504931387e-13-0.007037477478953787j),(0.9936184331896929+0.03172842012669689j),(0.10452846326741744-0.028098344216112674j),(0.978059395320422-0.00580395409771071j),(0.2079116908175957+0.011783979057854058j),(0.9506833474301155+0.0042475414965917006j),(0.3090169943752316+0.026298830704181132j),(0.9133780761288111-0.017459046521069076j),(0.40673664307618806+0.00098738024679832j),(0.8653408716970641+0.02932655001724781j),(0.49999999999933853-0.018031340331060228j),(0.8089104035623812+0.013012849186381348j),(0.5877852522923606-0.0017669043675957964j),(0.7412743106032688+0.022469019785023664j),(0.6691306063580643-0.04766310127662339j),(0.6689001143270507-0.01325866650055848j),(0.7431448254765646-0.011515779702718795j),(0.5876611736523937+0.011003842123129303j),(0.809016994374275-0.004976268935921405j),(0.4999859501789749-0.003661429513915429j),(0.8660254037842486-0.0008022198968870124j),(0.4059952714882533+0.01764705694158259j),(0.9135454576419783-0.01706217252015016j),(0.30899685117540243-0.0031456645294845845j),(0.9510565162946074-0.0015979896211069109j),(0.20785174621158795+0.0025249898793924773j),(0.9781476007332325-0.0043066462148388576j),(0.10452534759611423+0.0007947387964235043j),(0.9945218953677465+0.00014047495759828737j),(3.5108709634730967e-13+4.182418300580082e-13j),(0.9999999999994521+5.3165805091737184e-14j)
(0.9989864673500412-0.02379733583353784j),(-3.045019651903253e-13-0.03820634577529189j),(0.9932418859821214-0.0417890128367124j),(0.10452846326729648-0.028249508006076684j),(0.9766643639305883-0.050069241852628746j),(0.20791169081746824-0.019812119235247023j),(0.9507404757988279-0.022152918217161255j),(0.3090169943747761+0.010502051164917925j),(0.9129245697493474-0.028904839039960183j),(0.4067366430752414+0.017278408686921626j),(0.8659070401846217+0.003439571791187967j),(0.5000000000001624+0.013898456866616244j),(0.8089543234930081+0.004503137677879198j),(0.5877852522922024+0.00900674411993541j),(0.7396809572533499-0.019379185340768598j),(0.6691306063594105+0.0689982629072463j),(0.6686085367617745-0.009958894646621237j),(0.743144825477431+0.024478834769809263j),(0.587451792158798+0.016386780468691603j),(0.8090169943744899+0.011107120574633412j),(0.49998545548946666+0.0013069487884482711j),(0.8660254037843651+0.0035827619102213014j),(0.40647235303066503-0.0035302708442023836j),(0.9135454576419199-0.014228852033185803j),(0.308855857581377+0.009967395596723322j),(0.9510565162945813+0.00046160072281782594j),(0.20783613526008154+0.0033000465889418615j),(0.9781476007333141+0.004530093956497334j),(0.10451913389128317-0.0002427622985910127j),(0.9945218953676879-0.0013752637013530304j),(5.914017564879894e-13+5.083052034837721e-13j),(0.9999999999994573-7.078955477357596e-13j)
(0.9967019362553906-0.073609742195514j),(6.811006044871744e-13+0.034159275716386245j),(0.9943396242219096-0.015284480200152953j),(0.10452846326773119+0.011353269701336806j),(0.9778635828597683+0.02280144721607398j),(0.2079116908173662-0.00596960147481905j),(0.9506234486635444-0.028236408411676954j),(0.3090169943745504-0.005124575841546197j),(0.9131394549469752-0.026248856069020013j),(0.4067366430755864-0.007255105280768583j),(0.8628442696347025+0.07367398812799225j),(0.4999999999999563+0.008479966436481086j),(0.8084979704578826-0.01770908120209643j),(0.587785252292038-0.02293288894350845j),(0.742276748067982-0.02904297104992885j),(0.6691306063585769+0.021117924691831883j),(0.6690484398022883-0.00689834774769729j),(0.7431448254769394+0.00789723763097001j),(0.5877256299462305-0.0009328888067868793j),(0.8090169943750888+0.008319641456679839j),(0.4993875708120498-0.020727209031787024j),(0.866025403783833-0.013506921341672772j),(0.4060104571638937-0.022344940001532827j),(0.9135454576421188-0.009534629004690504j),(0.30881294634577827+0.008915175388292649j),(0.9510565162946139+0.006825439875449578j),(0.20749099305584678+0.012475021607981914j),(0.978147600733307-0.004374107355157739j),(0.10441469378776473-0.004628522181401069j),(0.994521895367686-0.0015323631430728922j),(3.741578987569728e-13-3.444033253030554e-14j),(0.9999999999994674+3.702455009246819e-13j)
