0 Ex,0 Ey,3 Ex,3 Ey,6 Ex,6 Ey,9 Ex,9 Ey,12 Ex,12 Ey,15 Ex,15 Ey,18 Ex,18 Ey,21 Ex,21 Ey,24 Ex,24 Ey,27 Ex,27 Ey,30 Ex,30 Ey,33 Ex,33 Ey,36 Ex,36 Ey,39 Ex,39 Ey,42 Ex,42 Ey,45 Ex,45 Ey
(0.9986638221607417+0.007162490588724655j),(2.657820992714359e-13+0.05117879477515113j),(0.9941447947274032+0.026855139849918025j),(0.10452846326743219+0.005359938971236465j),(0.9774307055020452-0.015805138657747055j),(0.20791169081750083-0.03394322250445372j),(0.9509913435118209+0.008656304518592657j),(0.3090169943746571-0.007002152820825846j),(0.9127365633296408+0.013564095282646207j),(0.4067366430757168+0.035962264370637424j),(0.8654275773281978+0.021545224837683407j),(0.499999999999067-0.023893758312887956j),(0.8084827874162676+0.028600362721843638j),(0.5877852522921602+0.006789616372603662j),(0.7422010429071759-0.025929953845506136j),(0.669130606358091-0.027008906582191964j),(0.667860345124651+0.03131168349484849j),(0.7431448254766453-0.02679377265045879j),(0.5875174119134338-0.016116252467857087j),(0.8090169943743587-0.007420237011136204j),(0.49946546103841305-0.020255187810383893j),(0.8660254037837878-0.011134657446483884j),(0.4054496118927665-0.025208606317048868j),(0.9135454576417704-0.020244386988164297j),(0.3089725103689304-0.0024067737498543176j),(0.9510565162944417-0.0046581207811333845j),(0.20765348050879812+0.001128076790113515j),(0.9781476007330874-0.010297118740566519j),(0.10449009363967415+0.0011744400684786625j),(0.9945218953677112-0.0025769467999816236j),(-4.862976283708293e-14-6.022161935792525e-13j),(0.9999999999994512+8.728434641724903e-14j)
(0.9997617657712389-0.006463649383539429j),(-6.87813682451252e-13-0.02084785210538509j),(0.994401380882965-0.015461199321165645j),(0.10452846326756275-0.0008033550202447053j),(0.9777637152060011-0.021664822934765893j),(0.20791169081770208+0.016777410226151313j),(0.9506960436520298-0.025022157825480985j),(0.30901699437491265+0.007708526995206982j),(0.9114021090738921-0.05470946139298888j),(0.40673664307478363-0.03030467932200231j),(0.8657294567671283+0.008986386597760332j),(0.4999999999993494-0.020778655901540165j),(0.8080330628330199-0.03975679555401194j),(0.5877852522922833-0.0032347739463207178j),(0.7421475614844468-0.020807970675365838j),(0.6691306063587992+0.03237679681235636j),(0.6684675171794169+0.02849455860514332j),(0.743144825476896+0.008660656537710833j),(0.5873248057266194-0.00482290684438727j),(0.8090169943744377-0.02275554789493958j),(0.4991405948262995+0.028021600144559705j),(0.8660254037839509-0.008570678007662185j),(0.4053403638226768+0.006117725888059658j),(0.913545457642612+0.033112832943163306j),(0.30861914189437833+0.015346032307703055j),(0.9510565162946525+0.0031980245739266396j),(0.2070347137403427-0.019069589268879535j),(0.9781476007332925+0.0004992496418033884j),(0.10444921483398181+0.0005078116182307205j),(0.9945218953677608+0.004037732154846318j),(-4.579674529437592e-13+8.311927535142871e-14j),(0.9999999999994593+2.490022077417109e-14j)
(0.9999627204378192-0.0004062016322258686j),(9.564038364135076e-13+0.008625122236778422j),(0.9930730710538607-0.023447121243541418j),(0.10452846326786792+0.04826912490057472j),(0.9775156827084481+0.0316565520616945j),(0.2079116908173734+0.015286647470041784j),(0.9507169611327433+0.004243873330081201j),(0.30901699437435853-0.025054870590844408j),(0.9129959099411195-0.0019764314169061917j),(0.40673664307619256+0.03162064717216267j),(0.8658636874810788-0.01202932555049057j),(0.49999999999945277-0.011634862605452469j),(0.8088801393551737+0.01043993402052812j),(0.5877852522925004-0.010603071284752404j),(0.7421781138629263-0.009607776632283436j),(0.6691306063578705-0.036654734551533646j),(0.6687911666510675-0.008785329980634634j),(0.7431448254771646+0.01941550287859203j),(0.5877076270846627-0.009001757663475269j),(0.809016994374259+0.0031962850287739885j),(0.49971218814991597+0.013768705919410535j),(0.8660254037840086-0.009907156573512571j),(0.4064698792414703-0.009891583506333342j),(0.9135454576419944-0.010912866980437783j),(0.30843790471799365-0.009509530092797928j),(0.95105651629455-0.016344129930332157j),(0.20747599669883993+0.005053487990870093j),(0.9781476007331029-0.012467727616681492j),(0.1044446599287957+0.0014773350777413721j),(0.9945218953677908+0.003915370530471724j),(-1.0153287268764149e-13-6.515604028534128e-13j),(0.9999999999994578-2.3774211765914544e-13j)
(0.9989208149858206+0.031573364907113044j),(-4.0324014499908654e-13-0.034063587821736796j),(0.9943787698032359-0.008217885453515464j),(0.10452846326783931+0.014735293988164082j),(0.9760067028348137+0.05656434895716398j),(0.20791169081867983+0.031370675292010944j),(0.9507283714524541+0.015138377195532968j),(0.309016994374634-0.01987185038441116j),(0.9123640330602557-0.009142895956278287j),(0.4067366430761166+0.04553659857246037j),(0.8653455390027087+0.007251609854987476j),(0.49999999999982014-0.0335337483981117j),(0.8070178651221657-0.04967355842651325j),(0.5877852522924548+0.027626077413132714j),(0.7419538721597915+0.040483045427863226j),(0.6691306063586017-0.011393254715679549j),(0.6690386100235908-0.0005392021770093437j),(0.7431448254768521-0.011082234637327193j),(0.5871070813038299+0.023649076778271865j),(0.8090169943744019-0.015411004597871028j),(0.49989762061777665+0.0029555242680397945j),(0.866025403784147+0.009676454743007793j),(0.4063107742178424-0.002277854950334994j),(0.9135454576416435-0.018467889769880976j),(0.30899836444291945-0.00055016938307731j),(0.9510565162947012+0.0033482678432384732j),(0.20788558709968463+0.0020353876151520582j),(0.9781476007333495+0.0025905698156279367j),(0.10441959661555557-0.0027809752511883216j),(0.9945218953676762-0.003874745476492846j),(-3.267568219929733e-13-7.098991533505128e-13j),(0.9999999999994437-2.4141452725778834e-13j)
(0.9983166800578003+0.023115278305058648j),(7.133441749152182e-13+0.05319295278518558j),(0.9934059906682333-0.0380746230092778j),(0.10452846326754234-0.027724739004601796j),(0.9777392491705265+0.01385585457652912j),(0.20791169081697675-0.024631377261922372j),(0.9503394461990994-0.009054417651302877j),(0.3090169943740737-0.035797370096176034j),(0.911903476609738-0.054006572469123854j),(0.40673664307517665-0.008980125609776048j),(0.8644145533053642-0.03967338519537852j),(0.49999999999998723+0.034835363352121805j),(0.8083325305285762-0.027606943419047885j),(0.5877852522920476-0.018570782189581376j),(0.7430394856836392+0.004651546585655629j),(0.6691306063580397+0.011615397673880378j),(0.6684645259696973-0.026695132016120473j),(0.7431448254768779-0.013353494395080502j),(0.5874712725396114+0.007546311196065863j),(0.8090169943746789+0.017665218363987732j),(0.498474411021461+0.0031043851271486816j),(0.8660254037843333+0.038905325456455045j),(0.40649635971664017-0.012107279323858031j),(0.9135454576422127-0.0069871413826101975j),(0.30862221051414684-0.015433845819609788j),(0.9510565162948158+0.002372844843459121j),(0.20785222857355662+0.003954401108692986j),(0.9781476007332925-0.0030141279832340785j),(0.10443648194880248-0.002378905088924993j),(0.9945218953677147-0.0036826188872057276j),(4.140799460824078e-13+2.4691327541598307e-13j),(0.9999999999994572-7.166489623955385e-14j)
(0.9990922091424662-0.04236627737501793j),(4.2796633703177877e-13-0.004456026366905401j),(0.9945128424928814-0.0007709947038107173j),(0.10452846326820499+0.004172774792425442j),(0.9766043170363532-0.05307443786824245j),(0.20791169081756203-0.014136506325967585j),(0.9500583865998224+0.026581426987723922j),(0.3090169943754899+0.034510679166768525j),(0.9119576146997043-0.04941860829882392j),(0.4067366430759191+0.021363832127689525j),(0.865166569436903+0.015329845702515865j),(0.4999999999990938-0.03538082756589641j),(0.8083152977751682+0.018683646180125284j),(0.5877852522921015-0.028032087592744608j),(0.7422397789467302-0.03253348939048225j),(0.6691306063579985-0.0169089991138165j),(0.6687057979100203-0.003944756866511528j),(0.7431448254768658+0.02351091449952651j),(0.5876296181714973-0.010751017328399656j),(0.8090169943741612-0.008206722042644173j),(0.4997517320689344+0.00879067541754598j),(0.8660254037839807-0.013074032258607642j),(0.4057877407529254+0.02308929443177562j),(0.9135454576423071+0.015423707638851026j),(0.30877119628329713+0.011781512925821235j),(0.9510565162945768-0.0036120785544828775j),(0.20777150577371248-0.0020328192899059273j),(0.9781476007333795+0.007358003309651718j),(0.10434186646239918-0.003344307475910635j),(0.9945218953676345-0.0052716357951059795j),(4.079931297434243e-14-4.013022553150947e-14j),(0.9999999999994609+6.334351446146691e-13j)
(0.9992732112767024-0.011508025638322813j),(-3.095045042174147e-13-0.03634026099824379j),(0.994237338449153-0.01692618789512538j),(0.10452846326716586+0.01671584166790261j),(0.9776970638628972+0.00693139475812259j),(0.20791169081745833-0.02886409362494996j),(0.9468196374833868+0.04831626322681269j),(0.3090169943758717+0.07554210726039984j),(0.9121134177641201+0.04778135251332029j),(0.40673664307573537-0.018203259733718016j),(0.865541111303965+0.028899894920056936j),(0.4999999999994154-0.0018386722728573144j),(0.8082678283180869+0.0005528890098088161j),(0.5877852522912335-0.034803867708612296j),(0.7426144733757342+0.0137135285890964j),(0.6691306063582818-0.024493156186314428j),(0.6688180061020138-0.00577989195684921j),(0.7431448254770876-0.01961723548769423j),(0.5853855332139414-0.033940962306185235j),(0.8090169943750324+0.040783469602673365j),(0.49982534747865204-0.006794331822165486j),(0.866025403784022-0.011333978672516233j),(0.4060227634764245-0.02246916486072643j),(0.9135454576422062+0.008680379578039354j),(0.30884347395868256+0.007436725323605107j),(0.951056516294635-0.0072046181020282655j),(0.20749085153101576-0.0034180821455955454j),(0.9781476007335058+0.012772408683907735j),(0.1043762357778427+0.005445176382072937j),(0.9945218953677163-0.0014666601936794178j),(1.0182061414320774e-13+6.128266297200646e-13j),(0.9999999999994572-3.9885868045874684e-13j)
(0.9988090038047873+0.04862924900929874j),(5.517501476724904e-13+0.003971153242879004j),(0.9938478427352212+0.014525834794643255j),(0.10452846326783455+0.033604552961753686j),(0.9781330800944038+0.005026260719645468j),(0.207911690817811-0.0017728926246311037j),(0.948248407802171+0.06691505561000824j),(0.30901699437472185+0.029254565793438055j),(0.912603197918058-0.006884017285859187j),(0.40673664307540647-0.040906193104310734j),(0.8658336707267815-0.0019725752564698487j),(0.4999999999997168+0.01811528585914609j),(0.808609831989395+0.025357873352003936j),(0.5877852522925612-0.003951588963871478j),(0.7426247779508858-0.02549902893979101j),(0.6691306063585057+0.011066631360205414j),(0.6691249562933612-0.002695912340937279j),(0.7431448254768465+0.0005415606207975847j),(0.586856615210932+0.018275447536052113j),(0.8090169943745485+0.027510434612314352j),(0.4989041305941989-0.03226064835632071j),(0.8660254037838381-0.007342958778519416j),(0.4060294752133191-0.009485255787212012j),(0.9135454576417931-0.022017992678430583j),(0.308559863107681+0.016768167356382032j),(0.9510565162947208-0.0010687631800261471j),(0.20774891600814732-0.0009084122113559787j),(0.9781476007331229-0.008175198079308622j),(0.10445454630177761+0.0034948407126796296j),(0.9945218953678032+0.0017981874907687795j),(3.0941122237130816e-13+1.0251348381284942e-12j),(0.9999999999994623+2.85417522949416e-13j)
(0.9986470734802126+0.04469366197706671j),(-2.373828209425505e-13+0.02658005280748406j),(0.9943297597467324+0.01927083580631337j),(0.10452846326795275-0.003280874114338847j),(0.9773888502255436+0.01041248676801194j),(0.20791169081794963+0.037085635953930496j),(0.9498816065792739+0.015558403468488361j),(0.309016994374758-0.04462473249536125j),(0.9129594139728794-0.00841453223141283j),(0.40673664307527235-0.0316165662948507j),(0.8653433941327714+0.006005234174369945j),(0.4999999999999114+0.033834115803564935j),(0.8086309123995991-0.000769559858312124j),(0.5877852522927568+0.024979040722008704j),(0.7429930535235115+0.007313272668383336j),(0.6691306063590391+0.013117548975378913j),(0.6691010628013986-0.0017471427761514796j),(0.7431448254770764+0.00604016685761869j),(0.5864816643171721+0.02431057553668891j),(0.8090169943744218-0.03065544240593778j),(0.4996541994411442+0.007890938888535816j),(0.866025403784202+0.016834906105413393j),(0.406558064958613+0.011405493779121938j),(0.913545457642115-0.0038924733922591492j),(0.3089459702642414-0.0018475453089438956j),(0.9510565162947122+0.006362141628148164j),(0.2077956025100046+0.00410793209073515j),(0.9781476007332781-0.005602111216873316j),(0.10445202785527084+0.00010011270978809578j),(0.9945218953677815+0.00399543331116178j),(-5.972389510229026e-13+2.689723443971559e-13j),(0.9999999999994575-8.634759574022155e-14j)
(0.9996499933938936+0.025780075870910295j),(-3.8319390207897164e-13+0.00593956180632739j),(0.9935089700074995-0.03417407357383524j),(0.10452846326708168-0.029083665102873718j),(0.9778910855760318+0.002176835395884532j),(0.20791169081783686+0.022293832300493102j),(0.9501608072816063+0.015415738201390443j),(0.30901699437438934-0.03827913933605723j),(0.912806974103181-0.025729378418520882j),(0.4067366430754141-0.026205539363613313j),(0.8651105180463752-0.03878799137252923j),(0.4999999999999463+0.00890411644654452j),(0.8076671413914033-0.020268603231807486j),(0.5877852522917454-0.042088830191203894j),(0.7422200691602372+0.03584897993383253j),(0.6691306063585192+0.009404850164266877j),(0.6679551103994392+0.030988269023755715j),(0.7431448254772188+0.02472783936156993j),(0.5860409032020568+0.02053387075788823j),(0.8090169943740468-0.04032273228196821j),(0.49908108681810237-0.016109596719923097j),(0.8660254037838677-0.02566222269904429j),(0.4058232815784925+0.026634910143829644j),(0.9135454576421649+0.005722107195298438j),(0.3083783524504138+0.01985154729984178j),(0.9510565162946125+0.0004589359876142132j),(0.2074798683636711+0.009966586022897433j),(0.9781476007331157-0.008946651093929555j),(0.10442449837863434+0.0029142432185270822j),(0.9945218953676516-0.0036374383952295832j),(-5.148376826093911e-13-2.9707486470798017e-13j),(0.9999999999994686+1.3120060593507787e-13j)
(0.999414048284609+0.028559064302439076j),(8.410117037861765e-14+0.018866370512071896j),(0.9940137381560977+0.031401580063921956j),(0.10452846326730543-0.004942619972424113j),(0.9777793752026764+0.008945234464670392j),(0.207911690818262+0.025302273188499272j),(0.9508262016788399+0.02090245609928906j),(0.3090169943745221+0.001057693986222615j),(0.9122003298354345+0.040633128729736234j),(0.4067366430752837-0.028369178282522084j),(0.865594166018477-0.010526597484878638j),(0.5000000000006077+0.02521766242889519j),(0.8086492471692438+0.0072161290266037304j),(0.5877852522919301-0.02329849182735347j),(0.7398954081939072-0.011204169231463761j),(0.6691306063576654-0.06850900057414547j),(0.6686128723181709+0.016887296837819768j),(0.743144825476667-0.020184512430836563j),(0.5876462185242021+0.012724579093855604j),(0.8090169943746698+0.0012287200453612503j),(0.4999167889950836-0.00847351053035169j),(0.866025403784045+0.0033769364380894402j),(0.40487619850977424+0.03103543736825393j),(0.9135454576423552+0.02338294950477068j),(0.30828153004134173+0.015156873205006891j),(0.9510565162944241-0.01497565500540039j),(0.20755475264921627-0.01127060215299902j),(0.9781476007333134-0.0046118714637915295j),(0.10426112331857099+0.001778504272473648j),(0.9945218953678675+0.007256357193048744j),(3.3564658053147457e-13-1.1713614019720486e-12j),(0.9999999999994482-2.812446456279538e-13j)
(0.9952548692078488-0.012181505405855535j),(1.641188663640571e-12+0.09653681288945712j),(0.9930204707079617+0.018709431626083108j),(0.10452846326683553-0.05132350620364937j),(0.9775820423638357+0.006895527904691516j),(0.20791169081794394+0.03253507280886318j),(0.9507619917117721+0.02336433135443901j),(0.3090169943745548-0.003773635270941214j),(0.9129214341098915+0.03088398568642955j),(0.40673664307608315+0.01363589926875007j),(0.8655214154337897+0.029313121141796863j),(0.49999999999947053-0.003663380103130804j),(0.8085359586607348-0.019593937312387476j),(0.5877852522916832-0.019853925566362635j),(0.7430761561417277+0.004405240849391708j),(0.6691306063581582-0.00909129585450974j),(0.6690392627761955+0.000890874190047985j),(0.74314482547669-0.011019962483719581j),(0.5875659860901807-0.01593565890742929j),(0.8090169943744702-0.001941539914705817j),(0.49917252446925847+0.02802824645525353j),(0.8660254037837439-0.006419362564068887j),(0.40635479467350016+0.005033402614570505j),(0.9135454576422724+0.016886163686631806j),(0.30890205667900417-0.0024294360128722433j),(0.9510565162945683-0.008069698427011118j),(0.207617300451619-0.01084426845514839j),(0.978147600733405+0.0021747581986973456j),(0.1044616229390944-0.0004916706289808601j),(0.9945218953676791-0.0037050271407764452j),(-2.942439403273402e-13+1.3198643566969537e-13j),(0.9999999999994563+6.577238753635584e-13j)
(0.9972833508852896+0.041040454857462196j),(8.593639468236734e-13+0.06116861213796159j),(0.9945204615883243+0.0014622719817767962j),(0.1045284632678827+0.0008447534778324796j),(0.9771640798223497+0.01425434204595347j),(0.2079116908184557+0.04147172117938617j),(0.9477929441925496-0.020323828209554175j),(0.30901699437378843-0.07605244330538002j),(0.9122023215882199+0.040570326241421095j),(0.40673664307509955-0.02839500478158984j),(0.8653213404376933+0.012583738587880179j),(0.49999999999998074+0.0325672735286395j),(0.8086745566674445-0.010611809301807516j),(0.5877852522922034+0.02100828619099669j),(0.7428223232144905-0.021251811647484964j),(0.6691306063585085-0.0052524536264892665j),(0.6685360018047128-0.024984566858351147j),(0.7431448254771769+0.013082586718152121j),(0.587597249888794-0.007382452569144311j),(0.8090169943745521+0.012902485390067393j),(0.49970568434982854+0.004521361799274296j),(0.8660254037839108+0.016546489530346247j),(0.40670192868283145+0.0018700478091901035j),(0.9135454576420874-0.004974027268113659j),(0.307835521099116-0.02688547591324162j),(0.951056516294603-0.0024425288181278634j),(0.20783112018806563+0.002785539588716763j),(0.9781476007333265+0.005073206985000491j),(0.10434695538250048-0.00034816271598570037j),(0.9945218953677872+0.0061474643633019094j),(5.516004474787986e-13-2.5979218776228663e-13j),(0.9999999999994487+2.8290911280315356e-13j)
(0.9999820544467971-0.0014627415729816305j),(2.3526112704142454e-13-0.005809575736391082j),(0.9932907976281964-0.04875791979085256j),(0.10452846326783076+0.008358048245014597j),(0.9777902342364186+0.02563729010591695j),(0.20791169081783506+0.006458793074301892j),(0.9506019120607774+0.015135378376954906j),(0.3090169943747204-0.025207584061364773j),(0.913485450349676-0.009138023479081289j),(0.4067366430758237+0.0051119178938968095j),(0.865816547798678+0.006503094842198897j),(0.49999999999991956-0.017872193887948154j),(0.8089624374529624-0.003960657567957921j),(0.587785252292493+0.00851969295723569j),(0.7416611440124947-0.018976263814782103j),(0.6691306063582396-0.04292878413371942j),(0.6684758838348454+0.01972423869037643j),(0.7431448254768689+0.022061629702145712j),(0.5872788756590359-0.021595258503614323j),(0.8090169943743971-0.011343272329224956j),(0.498469317642089-0.034205860155017455j),(0.8660254037841623+0.018928774388610042j),(0.4065428592263267+0.010526124327164516j),(0.9135454576420137-0.006841135818537066j),(0.308414413385635-0.009595578439375814j),(0.9510565162944195-0.016732522321953765j),(0.20740282001988422-0.01071769652816753j),(0.9781476007332418-0.009822036838063125j),(0.10451883274664717+0.0007845152343928718j),(0.9945218953677678+0.001182273288109346j),(6.279911215370677e-13-6.214230519052677e-13j),(0.9999999999994561-2.3142945893006583e-13j)
(0.9993704189129007+0.033297627852546814j),(6.713289447082973e-14-0.012248827700109554j),(0.9919090911066715-0.06775057368022366j),(0.10452846326768092+0.02449520589071904j),(0.9779410088974659+0.014514238124735561j),(0.207911690817416-0.013908588299553496j),(0.9509428032100745+0.013757789270860441j),(0.30901699437490826+0.005196676211930817j),(0.9133929892157614-0.012768951688684874j),(0.4067366430751508-0.01074729282399822j),(0.8659293100653901-0.012848936607956924j),(0.4999999999995911+0.0011553341387300488j),(0.8086255649314645+0.00080017350452102j),(0.5877852522916154-0.025150599375565005j),(0.741819808751088+0.03674707888412026j),(0.6691306063589043+0.024844620556833032j),(0.6691015045663639-0.004974651376110954j),(0.7431448254769268-0.0037679963464025807j),(0.5874656424287775-0.011873674587134448j),(0.8090169943741954-0.015317885957131612j),(0.49902756021284383-0.01769077045971726j),(0.866025403784167+0.02566185472479232j),(0.406598094946793-0.008482303534742539j),(0.9135454576420451-0.006382517753200836j),(0.3086221317962176+0.015553897159471749j),(0.9510565162945633-0.0013995932523597904j),(0.20761655859104275-0.008859438065845196j),(0.9781476007333735+0.006644255746405852j),(0.10446403615021749+0.0032090821433610264j),(0.9945218953676999-0.0017794876143249396j),(-8.513422095385179e-15+2.680754923600759e-14j),(0.999999999999462-8.444633881055097e-14j)
(0.9989336268939134+0.0389523557455059j),(4.585932334026002e-13+0.0247855409708386j),(0.9940252461410367-0.031426129052824534j),(0.1045284632680816+9.387553305725848e-05j),(0.974330601270499-0.08285603560790569j),(0.20791169081714303-0.024238102473572873j),(0.9508753987748821+0.0009760924306589356j),(0.3090169943743167-0.018534304274380423j),(0.9135309399101021+0.005043264183228316j),(0.4067366430754941-0.0010442661572941572j),(0.8639542295939268+0.009601875537937654j),(0.5000000000005458+0.059083780779446045j),(0.8084370148660333-0.020936224660089705j),(0.5877852522923988+0.022355417193292617j),(0.7426883807724692-0.0235909863451559j),(0.6691306063586814+0.011030233984430968j),(0.6688873728438561+0.007560480381866332j),(0.743144825476779-0.016379558980856686j),(0.587479036513226+0.005578700367711551j),(0.8090169943749185+0.01813181102828194j),(0.49892126404237463-0.0025987356509074994j),(0.8660254037842681+0.03272336869214054j),(0.40643639770108425+0.013968315834758148j),(0.9135454576422378+0.007002684959213289j),(0.3089430132778641-0.004113977297807577j),(0.9510565162946506+0.005365868986002102j),(0.2078831233697309-0.0031667920867310085j),(0.9781476007333083-0.0013600090107450356j),(0.1044811637909934+0.000872333936649072j),(0.9945218953677102-0.003020774655061323j),(9.682810462780681e-13-7.212216934782134e-13j),(0.9999999999994537+1.1678158440275865e-14j)
(0.9993044564717967+0.0357390926098839j),(5.892841178890119e-14+0.0106452117790875j),(0.9941701704411513-0.004033968933761888j),(0.104528463267292-0.026138088404136665j),(0.9768000124560811+0.005519768996392978j),(0.2079116908181564+0.051029370326937454j),(0.949937060288182+0.029178082981423j),(0.3090169943737636-0.03573119297728734j),(0.9123224491340586-0.0038466597876159556j),(0.40673664307618906+0.04709835657869162j),(0.8658935651113228+0.003860181941081483j),(0.4999999999996686-0.01460934267379542j),(0.8087614554454625-0.014880555992779012j),(0.5877852522921815-0.013855483598073651j),(0.7429202115825818-0.014161688003795631j),(0.6691306063585505+0.011542852683377023j),(0.6669359424151111-0.041557677248656125j),(0.7431448254763724-0.034715652710660135j),(0.5877423196598954-0.0005592837903753388j),(0.8090169943744411-0.007082068529328575j),(0.4994688476938258+0.017320789130164754j),(0.8660254037841407+0.015194092493163135j),(0.4054180285644858-0.014967680108370685j),(0.9135454576415518-0.029101331386367328j),(0.3090078284591842+0.0023686276779036233j),(0.9510565162947027-0.00023316549018955433j),(0.20750134549788998-0.0122663784273148j),(0.9781476007331967-0.004471996829915191j),(0.10450745323476035+0.0017366255766743163j),(0.9945218953677002-0.0011730230795545986j),(4.3801249341437505e-13-1.409440272825968e-12j),(0.9999999999994562-1.9576614634919665e-13j)
(0.9998981470098414+0.009458810521272579j),(2.709482530268133e-13+0.010687680225131738j),(0.994323704334694-0.012888957092518388j),(0.1045284632679101+0.015101196933119697j),(0.9778228605447836+0.0064112412481216905j),(0.20791169081747765-0.024373719491869925j),(0.9507331457128881-0.007379163323431141j),(0.3090169943743667-0.02367553121160644j),(0.9128930253897765-0.02173316192156175j),(0.406736643075563-0.02681971375754344j),(0.8655476738415862-0.028062976628361262j),(0.4999999999993465-0.006300289648372329j),(0.8088751050510178-0.015011094542994426j),(0.5877852522920485-0.002056369653310036j),(0.742506414857995+0.01816635774962679j),(0.6691306063588056+0.02486843327561773j),(0.669074359705379+0.00861037452299754j),(0.7431448254767584-0.0010634854945016457j),(0.5876670371507353-0.010016563223895388j),(0.8090169943743241+0.006214878927268913j),(0.49850238723529083-0.03373575419041512j),(0.8660254037838098-0.018901555753690204j),(0.4065528008846899-0.003102261785420746j),(0.9135454576418801-0.01182763228219195j),(0.30817976512046846+0.01231500733299088j),(0.9510565162943674-0.019106956262097158j),(0.20759430608190582-0.011437092973686048j),(0.9781476007331882-0.0010335209066933138j),(0.10426241620793347+0.004632788259071201j),(0.9945218953676119-0.005838276521557658j),(2.0899161043584984e-13+3.171161250259402e-13j),(0.9999999999994547+6.477587563558096e-13j)
(0.9996598248473586+0.02109440980622986j),(-5.4302115042694475e-14-0.015338202628178983j),(0.990233289675967+0.09223441449399429j),(0.10452846326772612-0.0021552647517417496j),(0.9770103861991521-0.032403939800891256j),(0.20791169081806687+0.034255200544401065j),(0.9502570418956547+0.03289380356536453j),(0.3090169943746056-0.020929624965947018j),(0.9133060368967025+0.007546605998444289j),(0.406736643075436-0.01950474005220565j),(0.8660220407808339+0.0022825410298762637j),(0.4999999999998814+0.0007841474260792888j),(0.8078075987171113-0.030721369434440985j),(0.587785252292865+0.03180531560647781j),(0.7425146384465837+0.02380367141101449j),(0.6691306063586395-0.01922572632879477j),(0.6684003214717976-0.024036242929010933j),(0.7431448254772467+0.019975926699805472j),(0.5876160944745374-0.01368215788405733j),(0.8090169943744375+0.0034098214534076j),(0.49862634911610926-0.03230901790023548j),(0.8660254037844934+0.01810776983069164j),(0.4066213742018338-0.005564563972941834j),(0.913545457642081-0.007924045078484102j),(0.30841910734779937+0.016355808990841866j),(0.9510565162944836-0.01008189207119748j),(0.2077742078004271+0.0003218835465531554j),(0.9781476007332643-0.007552889683588171j),(0.10440433498465927+0.0001108837760320433j),(0.9945218953677135-0.005091382356653948j),(5.447445166232572e-14-9.11754612781257e-13j),(0.9999999999994685-5.319529539082879e-13j)
(0.999416975497597+0.03331564794774093j),(1.374072734250221e-13+0.007468379197358224j),(0.9941239205611672+0.025479978009353282j),(0.10452846326758888-0.011924833517780984j),(0.9775049388152525-0.00891364960240674j),(0.2079116908175276-0.03431282941854219j),(0.9509532248927296-0.008541332337940147j),(0.309016994374631+0.011113365578559742j),(0.9132484991879039-0.021105372996815662j),(0.40673664307539525+0.009851149186388268j),(0.865243343288549+0.0036325370167973013j),(0.4999999999992279-0.03661641120128008j),(0.8077571801908976-0.0022723748158868656j),(0.5877852522930747+0.045074065141076564j),(0.7425127869167795+0.018124930615093415j),(0.6691306063583707-0.024707889197660027j),(0.6689096906785295-0.007135329018171935j),(0.7431448254770862+0.015642287609258194j),(0.5871555467401632-0.014481848788247044j),(0.809016994374516+0.02302483007597296j),(0.4992593683371842-0.02256282475146453j),(0.86602540378354-0.015198752160758515j),(0.4064496838561657-0.012479761485819054j),(0.9135454576422195-0.00880947595675821j),(0.30883314179625126-0.010614160098607014j),(0.9510565162946419+0.0009658913329184497j),(0.2076930639598071-0.009527169472807764j),(0.9781476007332716-0.00030887454623160573j),(0.10450007382521706+0.002392553803722094j),(0.9945218953677348+0.00045813743522982696j),(-2.048617700271657e-13+1.1245015335559216e-12j),(0.9999999999994525+2.4446417112855556e-13j)
(0.9993754857916909+0.007396830753515866j),(2.4843289077441075e-13+0.03455322404916877j),(0.9913045453777245+0.042257570347224965j),(0.10452846326726371-0.06784833400730841j),(0.9765696154118905-0.024424761099341698j),(0.2079116908181876+0.049879315546995276j),(0.9509511389641189+0.011767419898902173j),(0.30901699437501+0.007871233575777964j),(0.9130389388084825-0.029963533720441308j),(0.4067366430754815+0.005233167773846869j),(0.8656579179066396+0.019918445289886115j),(0.5000000000003393-0.015479815931494018j),(0.807937268513299+0.01578377075355348j),(0.5877852522920927-0.038687723050309805j),(0.7429665727292013+0.007932437022687987j),(0.6691306063586674+0.014211962666903558j),(0.668843204246424+0.016080504807024876j),(0.7431448254771712+0.011222916906967462j),(0.5872297649065756-0.025410442558737076j),(0.8090169943743653-0.0026486655291238052j),(0.499136119781679+0.026087711260184953j),(0.8660254037838069-0.013511670899318443j),(0.4064525323286634-0.008699579275191051j),(0.9135454576417905-0.012464072568732191j),(0.30849894530918504+0.007142080307942972j),(0.9510565162946067-0.016397995135459104j),(0.2078187180489549-0.005674930447344205j),(0.9781476007333523+0.002539049312489128j),(0.10452127299844359-0.0009802006786871825j),(0.9945218953677881+0.0007364308407311468j),(-6.460541958031393e-13-8.128359096915005e-13j),(0.9999999999994618-4.943337406082549e-13j)
