Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1600000.0,1599940.241040015,442707.6711722049,1599905.7634017456,1599930.9609724479,1599816.914006509,1600045.8850283762,1600003.150331602,1599791.55070753,1599344.6472135268,1599601.7853728705,442586.4020838397,1600011.980223142,1599722.038703292,1599947.3952379674,1599961.2925362848,1599909.129957446,1599998.357357496,442564.66834305285,442584.9932098348,1599979.6685839018,1599404.3954808277,1600049.9820570094,1600022.07331812,1599837.4647503956,1599990.4887008504
1700000.0,1699924.9267258183,542693.1966537489,1699879.1421162484,1700017.960511654,1699876.3980840466,1700144.6258910482,1699994.6877235323,1699867.7149670804,1699498.5869135517,1699567.9847608793,542588.5999440748,1700116.8764006156,1699793.6712469708,1699961.5355459866,1699953.0528177063,1699924.9197785584,1700003.7607019423,542557.2819804164,542586.5359570064,1699976.5675743704,1699615.4134347597,1700024.0391426473,1700004.1922575156,1699995.6141324167,1699990.3977975873
1800000.0,1799915.8090431574,642665.9798079302,1799862.5809530136,1800073.1425091622,1799927.3715133253,1800211.3343305315,1799984.6479565578,1799944.641389116,1799672.4206708095,1799564.902748552,642590.7788602451,1800191.7257459085,1799873.514957617,1799977.8169392436,1799947.235721803,1799945.8637859824,1800008.2251259258,642552.5277876058,642588.2574070736,1799974.2531778296,1799825.1739684716,1799993.2295285964,1799982.716847683,1800126.044370596,1799990.709282348
1900000.0,1899916.3234308609,742634.3692918756,1899862.12450588,1900090.702319449,1899962.3658414502,1900239.7218354093,1899975.7618070908,1900011.8497774103,1899841.9176006392,1899597.7933071563,742592.6730654464,1900228.7430900794,1899950.6198283073,1899994.1246759938,1899945.5118528001,1899969.3152883374,1900011.2580540276,742552.0767021386,742589.9442532326,1899973.2708806887,1900004.5627026802,1899966.321604434,1899963.6447257667,1900212.454712368,1899991.4092758296
2000000.0,1999927.7890131613,842607.0476561033,1999880.221579526,2000072.8020887596,1999977.3706091703,2000231.3000756262,1999970.4956533022,2000060.9128897493,1999983.7913013916,1999663.5094385915,842594.0718560828,2000227.8780940666,2000014.6309165237,2000008.3424473265,1999948.4933645027,1999992.1067627005,2000012.64384347,842556.6815205181,842591.3914759959,1999973.7986046167,2000130.941976241,1999950.6454972073,1999952.3430192485,2000247.710204549,1999992.4146428246
2100000.0,2099948.911551533,942590.5792190994,2099914.8389925356,2100028.3625554154,2099972.5082509583,2100194.248390661,2099970.3336369307,2100087.0994839147,2100080.5813881787,2099750.920348086,942594.8521679041,2100196.0683561726,2100057.919584611,2100018.7747257105,2099955.5442123986,2100011.2012903,2100012.4574170546,942565.9052482839,942592.4363623855,2099975.596872244,2100192.58129855,2099950.0206278167,2099951.9985297974,2100234.6089532054,2099993.5816169945
2200000.0,2199975.985309603,1042587.652530129,2199959.783730087,2199970.143582614,2199951.620699521,2200140.686534061,2199975.324620664,2200090.073541476,2200124.0046100244,2199843.5463004396,1042594.9916662181,2200144.802530811,2200077.010538156,2200024.4643400307,2199964.9498783364,2200024.3121693875,2200011.012202441,1042578.1628836541,1042592.9831571643,2199978.0823221426,2200190.2553599346,2199963.7316981205,2199962.669844288,2200184.1682451214,2199994.7284548813
2300000.0,2300003.755906566,1142596.5061823006,2300006.1719725905,2299910.979973735,2299920.9138332964,2300083.1684117564,2299984.03006147,2300073.505691032,2300115.945822209,2299923.6851045648,1142594.5609573377,2300086.732696527,2300072.9581455323,2300025.329595516,2299974.394005804,2300030.3353577405,2300008.7601620606,1142591.0752959491,1142593.013734479,2299980.500149195,2300135.7148106033,2299986.8368037753,2299981.2224267595,2300112.010545592,2299995.66802305
2400000.0,2400026.7184416126,1242611.6808269937,2400044.65583843,2399860.258893908,2399887.068925909,2400031.3954073135,2399993.896104647,2400043.7498541526,2400066.9298515483,2399976.8637030954,1242593.6979821166,2400032.3066825266,2400050.616989512,2400022.0932481065,2399981.5999331716,2400029.489826426,2400006.172477191,1242602.0457957196,1242592.5825008864,2399982.141736821,2400047.598221048,2400011.704119149,2400002.178383533,2400033.921388257,2399996.243034762
2500000.0,2500040.500199774,1342625.8544821895,2500067.7990602627,2499821.6412284286,2499855.3747820524,2499990.0532648554,2500001.952888714,2500007.9854377788,2499992.6056214375,2499995.3551603653,1342592.5722458095,2499987.351366389,2500017.051861786,2500016.031367502,2499984.9490121063,2500023.1405357313,2500003.6332096662,1342608.9068791815,1342591.798024216,2499982.5419333717,2499946.0192993903,2500030.316400756,2500019.2510276185,2499961.8333790647,2499996.3563586483
2600000.0,2600042.9500144143,1442632.202134821,2600071.945947389,2599792.6630281773,2599828.419041605,2599958.33251637,2600005.6485023526,2599972.3541865884,2599909.2878247453,2599979.7835017894,1442591.3478593312,2599952.2413819,2599979.5552886496,2600008.615889038,2599983.8959837677,2600013.3628305364,2600001.372004021,1442610.4625706077,1442590.7962639125,2599981.5971801793,2599847.364793846,2600036.659187143,2600027.134141473,2599901.3261833047,2599995.9892675537
2700000.0,2700034.637160968,1542626.5705814932,2700058.0705250613,2699766.3038071156,2699805.70884334,2699931.195236068,2700003.5840523294,2699940.601065871,2699829.81272571,2699938.405710113,1542590.154002619,2699922.8178860797,2699943.829268082,2700001.1498872293,2699979.063553045,2700002.374075037,2699999.44948628,1542606.779263395,1542589.7120194496,2699979.5706400503,2699760.7186627183,2700028.4888065206,2700023.0385872438,2699851.2729506013,2699995.2034350876
2800000.0,2800018.6271880358,1642608.82020539,2800031.380828556,2799734.0270551704,2799784.315575523,2799901.938239192,2799995.941522513,2799913.568004581,2799760.8301265654,2799884.3328322894,1642589.0688454174,2799892.7082969593,2799912.82085887,2799994.492066782,2799971.9942655074,2799991.989413743,2799997.793435059,1642599.1465959214,1642588.6551831574,2799976.985290125,2799686.8285382823,2800007.964911318,2800007.5376893,2799805.6318082837,2799994.1264301664
2900000.0,2899999.6023432026,1742582.9370772252,2899999.801145448,2899689.354884318,2899760.33316812,2899865.2233110177,2899984.480275601,2899889.6336515257,2899702.215400611,2899831.532321743,1742588.1186295457,2899856.2876982647,2899886.499298428,2899988.9376083817,2899964.6390231107,2899983.245418248,2899996.2692064494,1742589.7199371608,1742587.69632714,2899974.4398407065,2899619.7824454443,2899980.970130056,2899984.4771397435,2899756.751149684,2899992.9240483
3000000.0,2999982.574244515,1842555.8846817028,2999971.7639740775,2999630.87066235,2999730.6938026734,2999819.613962467,2999972.0979921254,2999865.9146108604,2999648.66201044,2999790.7845527497,1842587.289572046,2999811.339500795,2999862.583364494,2999984.275844759,2999958.739185105,2999976.283264367,2999994.759187968,1842580.9429925494,1842586.8634970596,2999972.405990722,2999550.7693647705,2999955.325211574,2999959.9687730744,2999699.114208004,2999991.765942538
3100000.0,3099971.5461029406,1942535.5352900662,3099953.928833912,3099563.7041933364,3099694.7721817563,3099768.814998444,3099962.073170512,3099839.8232049583,3099592.8766924995,3099766.7644661735,1942586.5471915598,3099760.5722960867,3099837.9503267566,3099979.9943175525,3099955.290240042,3099970.5067331498,3099993.2251443597,1942574.908324103,1942586.1491776642,3099971.071450836,3099472.6849086136,3099938.4290902126,3099940.744380341,3099632.326988511,3099990.7924823207
3200000.0,3199968.491694964,2042528.2902224837,3199949.45845162,3199498.993941737,3199655.2644577553,3199721.2060198807,3199957.1950447615,3199810.477919341,3199529.3312959005,3199757.0876550293,2042585.85633621,3199711.4996499345,3199810.2620039363,3199975.5580441505,3199954.25046138,3199964.9515407532,3199991.7341642017,2042572.8289700155,2042585.5239881831,3199970.2794779115,3199384.100789142,3199935.0197520964,3199932.324276412,3199562.391351631,3199990.0902001476
3300000.0,3299972.9260890144,2142537.0910569583,3299957.32161997,3299451.406377746,3299618.034715275,3299687.7715380588,3299959.0181183205,3299779.5137516516,3299457.369146272,3299753.5858211354,2142585.1955901007,3299674.681686038,3299779.286179562,3299970.673477367,3299954.5845052344,3299958.7434313404,3299990.4409959693,2142574.7615988404,2142584.952105199,3299969.5860473393,3299291.320287079,3299945.717984506,3299937.5069816117,3299500.8257355397,3299989.6805192176
3400000.0,3399982.175647191,2242560.415817571,3399972.8010340706,3399435.3557171877,3399590.9210751797,3399679.0095364535,3399967.4450287386,3399751.0255327807,3399382.669024824,3399745.41755506,2242584.5627729045,3399660.817055118,3399747.490330035,3399965.4549903697,3399954.63193813,3399951.500938448,3399989.534291784,2242579.6512059574,2242584.40420751,3399968.420103097,3399207.826399651,3399966.7920550294,3399955.598522809,3399461.8409299175,3399989.523608706
3500000.0,3499992.2566523217,2342592.571881076,3499989.0415168884,3499460.9520269292,3499581.7968427683,3499701.710445235,3499980.7502592127,3499730.639581346,3499316.5686857956,3499723.066589077,2342583.9708615476,3499677.5205147057,3499719.7065740735,3499960.442777447,3499952.6913475217,3499943.5583576416,3499989.165143409,2342585.676936398,2342583.8644895228,3499966.299117608,3499151.209852562,3499991.2260572277,3499982.5939113656,3499458.3575896705,3499989.534878115
3600000.0,3599999.1016120166,2442625.2209688504,3599999.1790413167,3599530.81221603,3599596.406796655,3599756.557030589,3599996.0359563525,3599723.972844373,3599273.391125463,3599682.004479569,2442583.4374464634,3599726.732098384,3599701.947702956,3599956.467787653,3599947.643891854,3599935.9413761264,3599989.3824896566,2442590.796065904,2442583.3311195886,3599963.0339208916,3599138.4132874445,3600010.790907358,3600012.2579094004,3599498.0085175247,3599989.6093790913
3700000.0,3699999.776474278,2542649.706818806,3699998.4279445554,3699638.6621299516,3699636.5797471423,3699837.2816170463,3700009.99133289,3699734.925678328,3699266.5107849753,3699624.884323714,2542582.9722567294,3699803.5441825693,3699699.7095391136,3699954.4054338997,3699939.4237414426,3699930.102501363,3699990.0973063717,2542593.3293788023,2542582.8111484884,3699958.8567724917,3699180.637436191,3700018.5154797994,3700037.7993768593,3699580.3036041753,3699989.647359212
3800000.0,3799993.340350707,2642659.5142948343,3799985.523343987,3799770.1864840826,3799699.3337519737,3799931.6858387855,3800019.7448490644,3799764.3137539653,3799304.281478279,3799561.5609697336,2642582.56804033,3799896.8435680484,3799716.253929586,3799954.8939400655,3799929.184421698,3799927.496036941,3799991.088909323,2642592.4232959263,2642582.3128965637,3799954.4274509596,3799279.3926742473,3800010.830466107,3800053.6684915,3799695.836331509,3799989.574960489
3900000.0,3899981.1070168326,2742652.143155797,3899963.1094909622,3899905.9651404503,3899777.1578557533,3900024.294954184,3900023.575344833,3899809.2572089196,3899387.0180863794,3899506.8664877852,2742582.19838953,3899991.6493928162,3899751.3828824074,3899958.103841522,3899919.0963376556,3899929.120211326,3899992.053228624,2742588.2622550465,2742581.83907816,3899950.706392847,3899424.9011760117,3899988.7471510153,3900056.9759173207,3899827.848289629,3899989.3556376444
4000000.0,3999966.2429700606,2842629.846503217,3999936.9742311593,4000025.7437997293,3999859.4359471984,4000099.9395811763,4000021.291787838,3999863.5352915544,3999505.9576897556,3999476.7210202534,2842581.8236112483,4000072.533347314,3999801.083271506,3999963.6304579494,3999911.8180165626,3999935.1645770064,3999992.6797239576,2842581.97852656,2842581.383416235,3999948.7229610267,3999597.4220173066,3999957.711610917,4000048.147008177,3999955.7942193877,3999988.990834682
4100000.0,4099952.8278563633,2942599.011652989,4099914.3622862855,4100112.9032654203,4099934.66209655,4100147.2795103826,4100014.187416681,4099918.840001721,4099644.5850834055,4099483.646658354,2942581.4026240627,4100127.1862376123,4099858.177815582,4099970.544868081,4099909.7803129037,4099944.8704540776,4099992.734072436,2942575.2935660966,2942580.931817653,4099949.2988267946,4099771.245052681,4099926.1573903975,4100030.646671447,4100059.961673601,4099988.511259923
4200000.0,4199944.655655698,3042568.352559741,4199901.861513304,4200157.937757762,4199992.875509369,4200161.297089691,4200004.595306072,4199966.602624793,4199782.036689342,4199532.947173887,3042580.9068961167,4200149.147867965,4199913.830850925,4199977.592507346,4199914.481852584,4199956.650669647,4199992.121596387,3042570.0009282245,3042580.467664918,4199952.802597113,4199920.3177103745,4199903.155455718,4200009.876003949,4200125.882640017,4199987.962724006
4300000.0,4299944.125324518,3142546.4236019603,4299903.473629646,4300160.045200666,4300027.682389808,4300144.086611888,4299995.182580726,4299999.89865958,4299897.689332952,4299620.6637780545,3142580.330956225,4300138.959824901,4299959.509073083,4299983.484341423,4299925.996643711,4299968.438758,4299990.911042036,3142567.4429892106,3142579.978632844,4299959.005850001,4300023.977704227,4299895.822007562,4299991.572398034,4300147.332512425,4299987.390938506
4400000.0,4399951.540885776,3242539.1617643824,4399919.42539078,4400126.477520153,4400037.352020127,4400103.758629051,4399988.190807007,4400014.9129942125,4399975.688323527,4399733.949555978,3242579.695540254,4400103.458011169,4399988.864636925,4399987.198740006,4399942.841388093,4399978.171448338,4399989.310520876,3242568.1328348396,3242579.4623900885,4399967.085878304,4400071.231133309,4399907.222763025,4399980.178609453,4400127.12771487,4399986.829930714
4500000.0,4499965.019790782,3342548.16192345,4499946.061545674,4500069.924603408,4500024.735861628,4500051.8120450135,4499984.8392217485,4500011.573523615,4500008.186113908,4499853.836425452,3342579.0412983326,4500053.450941158,4499999.029374195,4499988.208408398,4499962.252388986,4499984.268962751,4499987.601368052,3342571.627289501,3342578.9284011936,4499975.781003376,4500062.449010019,4499935.381883423,4499977.645639749,4500075.570018985,4499986.2966030445
4600000.0,4599981.031073717,3442570.1889066948,4599976.848331414,4600004.732024339,4599996.08442034,4599999.750672303,4599985.055456608,4599993.200878433,4599996.444619274,4599959.684411329,3442578.414263982,4600000.478645788,4599990.979583228,4599986.568819691,4599980.808652081,4599985.9786367295,4599986.048857219,3442576.6823372133,3442578.3945002574,4599983.66281255,4600008.111465805,4599973.699094243,4599983.002650186,4600007.048969163,4599985.791825752
4700000.0,4699995.401891338,3542598.082197975,4700004.194137005,4699943.040624326,4699959.132398211,4699955.920387529,4699987.600307855,4699965.302356453,4699949.575794632,4700034.109476128,3542577.847453645,4699953.592772988,4699968.898376763,4699982.845513157,4699995.240389507,4699983.487834002,4699984.816649399,3542581.639448926,3542577.8790097823,4699989.4572502645,4699925.0662991,4700012.680733802,4699992.801555931,4699935.814548009,4699985.30650279
4800000.0,4800004.495341345,3642622.8094488126,4800021.556248464,4799891.918168054,4799921.006810149,4799923.467478455,4799990.536858827,4799933.877489479,4799881.362622444,4800067.041269268,3642577.344470819,4799917.077902964,4799938.746800954,4799977.904778191,4800003.2082762495,4799977.779508499,4799983.911501126,3642584.9241784317,3642577.390719376,4799992.331874723,4799831.442847378,4800042.511308357,4800002.288114098,4799872.139511577,4799984.829367964
4900000.0,4900006.214939796,3742636.0894632246,4900025.221766354,4899852.242682661,4899886.539318118,4899899.990333256,4899991.8945153,4899903.734615808,4899806.124889571,4900057.815096269,3742576.871172083,4899889.755382138,4899906.474928794,4899972.632627079,4900003.845262385,4899970.27907496,4899983.176890533,3742585.5072789867,3742576.920376658,4899992.074977251,4899741.699218836,4900055.745019385,4900006.940235815,4899819.957558408,4899984.353230579
5000000.0,5000000.544986809,3842632.8344016997,5000015.250571893,4999819.57816597,4999857.428822146,4999878.962256697,4999990.323574658,4999877.305850328,4999734.833124987,5000014.76958927,3842576.3594451635,4999866.047931846,4999876.398069691,4999967.667963003,4999997.917236513,4999962.401710856,4999982.340228495,3842583.1917335554,3842576.4372897395,4999989.120751923,4999663.204353314,5000049.357090221,5000003.909543772,4999776.626457489,4999983.8772585485
5100000.0,5099989.474863509,3942612.7080072146,5099995.317634283,5099786.698455172,5099832.442986175,5099852.48032831,5099985.541856101,5099854.296110761,5099672.574298916,5099952.524425093,3942575.7236489584,5099838.463698832,5099850.2062926,5099963.231392344,5099987.563192852,5099955.137392836,5099981.102349333,3942578.642465449,3942575.893326354,5099984.41563166,5099595.292992776,5100025.575637287,5099992.935126737,5099734.840512135,5099983.404529797
5200000.0,5199976.337837869,4042580.348287696,5199971.515575611,5199746.932126139,5199808.540955275,5199814.497294584,5199978.439901274,5199832.25326722,5199618.065162973,5199887.745328084,4042574.8867115504,5199800.7332848655,5199826.88447026,5199959.10278278,5199975.69064926,5199948.79908185,5199979.245112445,4042573.1534916507,4042575.234805605,5199979.163413593,5199531.002882908,5199991.261649376,5199976.458887584,5199686.07801439,5199982.936388082
5300000.0,5299964.766223831,4142544.182186257,5299950.479608649,5299697.264071863,5299782.530381085,5299763.541288612,5299970.814404945,5299807.870317215,5299565.301327567,5299834.596379101,4142573.809112506,5299750.630593431,5299803.547374529,5299954.755312963,5299965.194510315,5299943.009608251,5299976.725825322,4142568.22552687,4142574.419805521,5299974.517981195,5299460.905543285,5299956.012959752,5299958.909831343,5299624.503862111,5299982.466128427
5400000.0,5399957.576777208,4242514.157001489,5399937.39151269,5399640.212433838,5399752.71999456,5399704.071605075,5399964.811664569,5399778.608654621,5399506.792162333,5399801.139627622,4242572.5126691675,5399691.5934491,5399776.919443149,5399949.606086961,5399958.213528593,5399936.93082327,5399973.72961027,4242565.084040581,4242573.436655969,5399971.30535901,5399377.808373332,5399929.523052119,5399945.370933224,5399550.10147858,5399981.975351579
5500000.0,5499955.920095193,4342499.016500874,5499934.452418144,5499583.874675055,5499720.037958281,5499646.01302902,5499962.249975826,5499744.129347975,5499437.3494991455,5499787.659019605,4342571.091653363,5499632.606292887,5499744.99142774,5499943.3064113455,5499955.624704546,5499929.664388727,5499970.661311845,4342564.285794557,4342572.318382877,5499969.84710772,5499280.83239717,5499918.92974111,5499940.024514109,5499470.027814406,5499981.435626867
5600000.0,5599958.949839342,4442503.877528082,5599940.276888059,5599540.086995835,5599688.252393767,5599602.537523933,5599964.026716198,5599707.06846167,5599357.22089649,5599787.333610428,4442569.70626405,5599586.310086703,5599708.325866592,5599935.979706638,5599956.90664253,5599920.699097107,5599968.074352013,4442565.535619283,4442571.148018768,5599969.927611841,5599177.545280099,5599926.889092134,5599944.838665756,5599397.702266419,5599980.816082906
5700000.0,5699964.1146648135,4542528.782809703,5699950.391722506,5699521.203804823,5699663.203846634,5699586.669372712,5699969.792507989,5699672.879957397,5699273.543719002,5699789.010639831,4542568.558187878,5699565.81834415,5699670.580210842,5699928.327523007,5699960.398477743,5699910.26216373,5699966.551669009,4542567.773006444,4542570.051960969,5699970.907872567,5699083.398851384,5699950.907636969,5699958.890218761,5699349.799107142,5699980.095705082
5800000.0,5799967.990350365,4642568.636796642,5799958.69647121,5799536.418094603,5799651.257446806,5799607.637536228,5799977.996678564,5799648.73966678,5799199.58599323,5799781.220724613,4642567.852457733,5799581.099154948,5799638.04118929,5799921.559912239,5799963.869679766,5799899.456025185,5799966.567391901,4642569.506819061,4642569.181200948,5799971.94799825,5799018.506912785,5799984.113128993,5799978.536091728,5799341.923324504,5799979.2768538175
5900000.0,5899967.406895895,4742614.545816033,5899959.454648426,5899588.697509901,5899657.419845888,5899667.995117411,5899986.298685598,5899641.77955263,5899151.886522694,5899756.218690988,4742567.753857145,5899635.929857641,5899618.2521111965,5899917.1565195685,5899965.230318546,5899890.12236619,5899968.364379539,4742569.300896044,4742568.683594204,5899972.271948373,5899002.574757878,5900017.237865697,5899998.397130743,5899384.1474740105,5899978.395577551
6000000.0,5999960.533263006,4842656.187639324,5999949.221056426,5999673.260482163,5999683.674784633,5999762.340937247,5999992.230581987,5999657.124579988,5999146.023227872,5999712.836215434,4842568.347986554,5999726.301291148,5999618.083223671,5999916.514418218,5999963.17494953,5999884.453770648,5999971.879669695,4842566.265457693,4842568.672890681,5999971.39848673,5999049.346027531,6000041.244141325,6000012.877652562,5999477.666349918,5999977.524474532
6100000.0,6099947.589538654,4942684.544100201,6099928.122459478,6099778.097172815,6099728.040573919,6099878.05472864,6099993.918764245,6099696.278352513,6099192.157354794,6099657.294985421,4942569.616579893,6099840.770332452,6099641.768847498,6099920.574056994,6099957.576498148,6099884.448453522,6099976.738283302,4942560.40394857,4942569.2016249085,6099969.274441265,6099162.121532015,6100049.841250857,6100017.781790723,6099613.559748367,6099976.765568789
6200000.0,6199930.960916322,5042694.230997243,6199900.093071215,6199886.460740665,6199784.655022813,6199997.903966902,6199990.6520305155,6199756.325505735,6199291.609791532,6199601.7353823995,5042571.433445575,6199962.727929789,6199689.464369475,6199929.525055527,6199949.521656227,6199891.353078904,6199982.318407291,5042552.704051372,5042570.24438758,6199966.276033206,6199331.6711514965,6200041.181874526,6200011.553561795,6199774.098876595,6199976.233159454
