Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1000000.0,999774.0307167271,1000506.8232783484,1000125.9307902077,999427.4027845096,1000878.2949781372,1000815.8635940005,999557.3581119238,999983.1695462546,1000041.0117963328,1000008.94698845,999975.167042354,1000591.6852313988,1000498.4345368284,1000924.3095721642,1000735.4519753505,999612.9626974644,1001610.3043001904,999489.5126419269,1001021.1576302686,1000578.98182663,999922.38704322,1000318.64785151,999925.6937319415,999809.9276125669,1000437.4130576066,1000641.2816567632,1000715.7260411524,999916.6473221985,999860.0230450932,999207.8398049272,998442.1959758659,999422.3391528393,1000344.4705143152,1000456.598453532,1000393.9615259869,998679.6154782841,1000042.0393116436,1000037.5062984584,998355.0919269812,999733.886395091,999600.573099311,1000558.3463460776,1000632.2925403536,999994.997512932,999651.4952269546,1002697.9415139029,999995.118695972,1001500.9560803195,1000864.583107741,1000015.4833228504,998590.2633207879,1003943.825019528
1100000.0,1099912.9646134423,1100394.365908163,1100090.4714224394,1099789.6048965515,1100895.475077012,1100639.029261986,1099813.4423748543,1099983.6276481815,1100008.5832489245,1100022.205406845,1099998.61360768,1100370.2866314088,1100521.4651982929,1100929.894323465,1100232.7187454174,1099697.4193155314,1101701.9778835368,1099805.30148911,1101279.0596386686,1101836.7506900423,1099961.9751940141,1100154.9505861506,1099924.7491704156,1101725.2580445826,1100319.6853561434,1101175.4692743076,1100838.0980400508,1099921.3035266523,1099866.32242287,1100354.8831184153,1098903.2324786747,1100211.6325226869,1100439.1183111505,1100500.782356674,1100392.0942906342,1099285.5366867713,1100200.190106552,1100069.4491892827,1098077.6487819112,1099383.327214004,1099699.814449471,1100394.3327802182,1100661.9930192877,1099995.1589955192,1099743.571392233,1103835.6729755048,1099899.257935588,1101838.8185765708,1101089.2659542027,1099941.8917390977,1098749.336827304,1104174.9059459006
1200000.0,1200074.0704526405,1200286.077414809,1200059.3139273385,1200204.3546289129,1200856.9075429123,1200467.3809746846,1200113.10010476,1199986.1162513546,1199986.581815837,1200034.3444391692,1200024.0883932344,1200193.538316419,1200510.7689738106,1200876.596976677,1199897.3846124988,1199829.6315261135,1201681.2979431732,1200167.681536497,1201443.3940286762,1202999.560830106,1200008.1888999715,1200034.7915244491,1199936.4712256656,1203603.379829765,1200212.5818275423,1201633.6686627446,1200899.256759197,1199938.5132291575,1199894.1650945598,1201561.1715076806,1199543.884120581,1201044.1334615296,1200501.1802516913,1200509.1652361914,1200365.3640299214,1200024.6395939393,1200348.8828139105,1200097.3655633363,1198199.7889828135,1199251.1492176594,1199846.8596350614,1200252.8623739886,1200646.289023143,1199995.5681515106,1199876.753296005,1204705.1074246678,1199852.7325268215,1202042.4419671444,1201234.193756457,1199904.710124291,1199131.5537352622,1204230.1399288888
1300000.0,1300236.178350731,1300209.6864773876,1300040.4355230608,1300615.6969685054,1300779.4901805336,1300344.8766342613,1300416.696801452,1299990.3007612876,1299981.3990108764,1300043.9181090721,1300048.3156881435,1300108.7153257616,1300474.0069164971,1300784.408998175,1299826.7824148221,1299993.067749473,1301571.1064298514,1300527.7343324628,1301503.2004469736,1303920.1245718708,1300054.660463211,1299991.7521803828,1299960.287771412,1305194.985191693,1300143.9573501705,1301961.6632987666,1300898.92775693,1299966.7384133036,1299940.770627223,1302665.9158856843,1300280.3171228657,1301809.7184945908,1300525.9478461829,1300486.0608030509,1300322.9788398386,1300796.7749274329,1300469.1383882014,1300118.0493487185,1298749.4432061708,1299394.0173291154,1300023.0154659469,1300170.735884326,1300595.3629973098,1299996.154165451,1300034.0240263364,1305219.2597434614,1299872.1117232249,1302101.1252014902,1301289.1940311287,1299916.36066606,1299662.0138634974,1304136.179694485
1400000.0,1400378.0521550407,1400183.633809289,1400038.4434375789,1400968.7342338646,1400685.420153242,1400301.056024973,1400684.1121907157,1399995.481667855,1399995.3895184766,1400049.9699866092,1400068.2963586058,1400139.7221553999,1400422.7870654368,1400678.610266918,1400054.8901182918,1400164.8512287044,1401408.1335790358,1400837.3835527021,1401466.83402741,1404501.8464326162,1400095.033433017,1400040.4960669829,1399993.031671869,1406313.7568732589,1400131.2269060472,1402131.123993646,1400847.8524316484,1400002.1115055329,1399999.3383316945,1403530.4391766824,1401009.1916260943,1402412.8129259942,1400515.6672438446,1400441.1366206391,1400276.22921235,1401495.6791326972,1400547.7338395023,1400129.6804528679,1399658.835729484,1399805.4512949793,1400203.7254401348,1400168.8703463438,1400524.9991854024,1399996.8113513044,1400193.5408799744,1405359.980445366,1399958.6809779198,1402030.6673199823,1401260.7614464122,1399977.7531332544,1400242.346296348,1403936.243121771
1500000.0,1500482.7130566516,1500212.5990398654,1500053.4803819363,1501221.0338086875,1500596.4098981975,1500343.8672492711,1500882.9946507656,1500000.7572000974,1500026.2357566466,1500052.1870451416,1500081.8870383366,1500281.1164804508,1500369.5778152202,1500583.18689531,1500542.7538594243,1500320.6463088328,1501233.1209271678,1501059.3674780491,1501358.1906729485,1504714.8250823512,1500124.2820332632,1500172.9454377515,1500029.6013340943,1506871.3858769806,1500177.0345101054,1502143.308911415,1500764.2990213581,1500039.249821174,1500060.5621288994,1504066.196287203,1501630.1507376132,1502791.463074002,1500478.3870407632,1500386.6633355115,1500235.5486488815,1502031.7924344488,1500579.5402052344,1500132.080469504,1500777.4858598916,1500415.7762950012,1500363.798022086,1500247.2212571728,1500452.3313867482,1499997.4183242791,1500333.2689575672,1505174.3126463024,1500097.8859457362,1501867.1383343397,1501168.9894513306,1500077.9974829224,1500773.5480036973,1503679.8435229969
1600000.0,1600540.6614770952,1600286.742692825,1600081.3331114354,1601350.702924913,1600528.4401400324,1600458.3022803678,1600994.953011026,1600005.2337384962,1600067.5349684642,1600050.9033824662,1600088.166421661,1600499.8768567927,1600324.6309224898,1600514.9741981542,1601188.0852646327,1600439.8534818706,1601080.7034366897,1601174.3220376112,1601209.5449037915,1604594.6550215224,1600139.67818965,1600360.4335520074,1600064.1066402746,1606885.3524529678,1600268.8639087896,1602025.5954009325,1600669.0097910038,1600072.4462097206,1600114.7605442398,1604249.0425209228,1602067.2161703391,1602927.4242282615,1600425.5013645364,1600334.3053049056,1600207.953962725,1602350.2876085632,1600567.8582448282,1600126.5845675357,1601908.161613323,1601108.906765346,1600482.7295086428,1600385.2949646546,1600391.5128372372,1599997.861165804,1600435.60539396,1604756.1404127362,1600262.8958049854,1601656.3658996434,1601041.5093965791,1600197.1917811832,1601177.0799692122,1603412.7274313085
1700000.0,1700551.2236681662,1700384.830659039,1700114.6919833275,1701359.175868714,1700488.3986099462,1700611.1860250412,1701018.1852393455,1700008.2274088373,1700110.4500944528,1700046.959799393,1700087.5070987043,1700744.4960702308,1700293.7168801175,1700480.0444182802,1701852.1532118104,1700509.7738752959,1700971.647670496,1701183.2618506243,1701053.0289274685,1704226.0944499562,1700141.1708341725,1700561.2985623768,1700091.2033312116,1706460.7220950238,1700382.6887656369,1701822.230433071,1700579.9684398996,1700096.929306517,1700154.0567719066,1704117.0710998073,1702283.3133820002,1702845.2460805238,1700368.6881289438,1700292.3158048762,1700195.5381749473,1702439.6849372191,1700522.7608743212,1700115.5804187863,1702855.9548924528,1701751.769019997,1700548.755431239,1700548.0953401148,1700350.4535755685,1699998.055271745,1700490.8143469603,1704219.2048008954,1700421.3443558218,1701442.0725730404,1700906.1580656215,1700311.5192122804,1701408.930725878,1703169.1609934368
1800000.0,1800521.7721611862,1800480.333930255,1800145.1934523191,1801268.3076294526,1800473.4158370974,1800760.7514844625,1800966.069455878,1800009.403938391,1800145.973966869,1800041.461839886,1800081.3497789584,1800958.8778729837,1800277.234119501,1800473.2347351476,1802396.502264213,1800527.711241049,1800909.361944337,1801105.0850674019,1800913.024721691,1803717.3418119173,1800131.1055200226,1800731.8309437726,1800107.2695033785,1805754.1971690045,1800489.6382407069,1801582.0675478487,1800508.367130364,1800109.869980799,1800174.0380153896,1803754.2426843487,1802284.455650216,1802601.5309192871,1800317.0763755348,1800263.8676508344,1800195.3919712869,1802329.452568597,1800457.9781752762,1800101.8491809494,1803475.60107785,1802227.9266160647,1800560.6407558091,1800695.8195109589,1800329.4610092256,1799997.9608299788,1800498.4409267462,1803668.819723624,1800543.4041991,1801255.768238289,1800784.3388154998,1800399.2429505682,1801463.8023378497,1802967.9621755376
1900000.0,1900465.1387209082,1900548.7598496748,1900165.6667364747,1901112.9118734829,1900472.95780762,1900868.2527289647,1900862.3379720869,1900008.822214669,1900167.1904595187,1900035.5031533644,1900071.7538587882,1901097.0820084403,1900270.864665178,1900480.84272194,1902718.5695492,1900500.5696993163,1900881.4281534608,1900970.0771328518,1900801.4032277856,1903172.180909724,1900113.391476809,1900837.5057743727,1900111.1243795853,1904931.4983139755,1900563.799070873,1901346.6155737257,1900456.7874752537,1900110.882812499,1900174.4781311443,1903265.4132102325,1902113.30646904,1902267.9687428884,1900275.3839514384,1900246.922497449,1900200.9304582328,1902078.1590468318,1900387.220461344,1900087.8889675231,1903702.9492785959,1902465.528489184,1900526.862586205,1900794.537708602,1900322.086363396,1899997.5884212884,1900466.4424965228,1903179.1504228408,1900608.9792051688,1901110.915552161,1900686.775867294,1900445.9511278262,1901369.633209416,1902812.6802923735
