Ip,0,1,2
3900000.0,3891723.749006444,3907884.49507307,3878672.6246815952
4000000.0,3996997.5957438136,4007917.4789767102,3979892.5172948716
4100000.0,4101379.219260953,4107434.581536906,4080905.856295943
4200000.0,4204792.98146326,4206472.084708635,4181673.261740918
4300000.0,4307199.957820043,4305075.412974754,4282165.146084503
4400000.0,4408596.208143456,4403296.643245462,4382362.586026346
4500000.0,4509009.5005246205,4501191.9961129585,4482257.671466254
4600000.0,4608494.95628319,4598819.400542875,4581853.347148717
4700000.0,4707130.054326129,4696236.208135249,4681162.788850646
4800000.0,4805009.363773591,4793497.119727782,4780208.375006575
4900000.0,4902239.287803519,4890652.376761298,4879020.326651325
5000000.0,4998933.017371203,4987746.261548913,4977635.094045433
5100000.0,5095205.822888884,5084815.943685755,5076093.569194464
5200000.0,5191170.7603516495,5181890.702679133,5174439.201030321
5300000.0,5286934.836821957,5278991.548437072,5272716.086046717
5400000.0,5382595.6662588995,5376131.250549059,5370967.102834745
5500000.0,5478238.645996226,5473314.773701759,5469232.154757161
5600000.0,5573934.6917140875,5570540.100439074,5567546.5812714305
5700000.0,5669738.578890597,5667799.404544792,5665939.794732319
5800000.0,5765687.945900602,5765080.5198339475,5764434.194988217
5900000.0,5861803.013710422,5862368.632226498,5863044.408139645
6000000.0,5958087.065460595,5959648.109090204,5961776.887060969
6100000.0,6054527.704768872,6056904.371095267,6060629.899437135
6200000.0,6151098.874456502,6154125.708959395,6159593.913468111
6300000.0,6247763.570984647,6251304.951122635,6258652.372664138
6400000.0,6344477.139484948,6348440.897931382,6357782.830125713
6500000.0,6441190.987047113,6445539.4522165945,6456958.391113867
6600000.0,6537856.515219707,6542614.39348494,6556149.392624651
6700000.0,6634429.052554203,6639687.761357046,6655325.232248672
6800000.0,6730871.568044995,6736789.831736989,6754456.247890958
6900000.0,6827157.966363421,6833958.68502196,6853515.546164432
7000000.0,6923275.802528493,6931239.37887585,6952480.681078281
7100000.0,7019228.300828997,7028682.748461935,7051335.095361005
7200000.0,7115035.613260015,7126343.865310312,7150069.2532522855
7300000.0,7210735.299164123,7224280.192961072,7248681.413665837
7400000.0,7306382.044883468,7322549.484627992,7347178.014260242
7500000.0,7402046.666821219,7421207.4765364695,7445573.65795694
7600000.0,7497814.45287908,7520305.441342533,7543890.712197529
7700000.0,7593782.897628634,7619887.679678092,7642158.546759875
7800000.0,7690058.879357616,7719989.044074745,7740412.447903833
7900000.0,7786755.3170472635,7820632.606962277,7838692.25522157
8000000.0,7883987.337889727,7921827.600816719,7937040.77365668
8100000.0,7981867.986557202,8023567.77024585,8035502.017525015
8200000.0,8080503.5214215815,8125830.278806681,8134119.347099835
8300000.0,8179988.374438295,8228575.303315252,8232933.562046387
8400000.0,8280399.902811872,8331746.422012664,8331981.0200870875
8500000.0,8381793.131007399,8435271.858868806,8431291.853622412
8600000.0,8484195.765591178,8539066.586227601,8530888.36096601
8700000.0,8587603.851035029,8643035.217109913,8630783.651181174
8800000.0,8691978.503665883,8747075.545180267,8730980.62063132
8900000.0,8797244.190146292,8851082.525225174,8831471.33373945
9000000.0,8903288.98202592,8954952.440284086,8932236.868554538
9100000.0,9009967.101027839,9058586.98110442,9033247.668499209
9200000.0,9117103.868310042,9161896.973304326,9134464.415553343
9300000.0,9224502.903451262,9264805.525455529,9235839.408062562
9400000.0,9331955.127338078,9367250.43089768,9337318.391141275
9500000.0,9439248.864888202,9469185.727705214,9438842.752908975
9600000.0,9546180.176474705,9570582.394092618,9540351.96968045
9700000.0,9652562.511306446,9671428.221346905,9641786.161764624
9800000.0,9758234.880730594,9771726.956672987,9743088.611773077
9900000.0,9863067.9686827,9871496.841138467,9844208.100668965
10000000.0,9966967.879067538,9970768.683563272,9945100.932721218
10100000.0,10069877.505843682,10069583.612502009,10045732.546823384
10200000.0,10171775.749879604,10167990.639387872,10146078.644606765
10300000.0,10272674.96662525,10266044.150767691,10246125.801262157
10400000.0,10372617.102980638,10363801.430190159,10345871.559028741
10500000.0,10471668.981693128,10461320.293377241,10445324.032600194
10600000.0,10569917.139390552,10558656.905689923,10544501.078458887
10700000.0,10667462.544303142,10655863.839091823,10643429.095583616
10800000.0,10764415.43307867,10752988.41663835,10742141.533590686
10900000.0,10860890.42782484,10850071.385052443,10840677.187337585
11000000.0,10957002.033287432,10947145.949132593,10939078.356122458
11100000.0,11052860.572628047,11044237.19399475,11037388.942199761
11200000.0,11148568.598041676,11141361.91172166,11135652.559161859
