Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1000000.0,954455.3309003289,948682.0726132279,956525.6426597921,962467.1627205219,945150.223360512,955244.3620824432,947987.2702242349,959246.7768609863,945103.2162673764,954297.6100861952,962053.7581227835,956061.4189721134,943039.9654457433,952879.4869398995,948501.8895999624,958739.562608212,947959.4177027212,935378.6372283226,946367.1037235797,949963.1618757152
1100000.0,1061826.9787141753,1050634.6422588648,1061621.3113622093,1074928.5424223177,1049854.4558647445,1059889.9979973065,1051198.4646368397,1063531.6150862488,1046694.2691843628,1058605.6129674618,1065693.3650570358,1059806.8442570912,1048096.8854176254,1058072.26930367,1054814.328607209,1059745.4398595172,1050010.537149699,1043715.4224129489,1053984.2174102855,1054922.4613925663
1200000.0,1170288.9720491734,1154683.9148785048,1167707.4811469102,1186856.6018521483,1156999.656941107,1165717.2707652792,1156551.1332202535,1168526.5564449814,1150803.9266851887,1164233.8309943336,1169748.2911227017,1164690.4525911615,1155850.583907907,1164709.1797293606,1163068.7063318023,1161734.8167473949,1154240.0448529404,1155682.0283721883,1163755.93103603,1161706.650562371
1300000.0,1277932.0091659864,1259858.1730254483,1273334.3519697653,1295686.206713482,1265035.8678590201,1271332.003253015,1262823.0481280077,1272976.807561821,1256515.552111241,1269832.6440651352,1273128.137525483,1269491.7305660988,1264655.1857823036,1271254.0356097452,1271436.5597326625,1263990.9739235367,1259652.6435571946,1268803.6118312723,1273548.913745141,1268776.6663927212
1400000.0,1383107.4290872451,1364870.160520084,1377187.4881991807,1399900.0296032908,1372133.9093440394,1375402.3864254383,1368521.8064414468,1375781.3817124541,1362460.0406138545,1374061.0214570551,1374925.6904706217,1373013.5465278092,1372527.7595609003,1376198.5332793319,1378052.9035092017,1365729.0889941377,1364918.6716389395,1380179.9751098792,1381222.6339212328,1374505.798762104
1500000.0,1484885.6021814144,1468479.439530747,1478442.2506996873,1499254.1583601742,1476758.2237047008,1477027.2305716558,1472325.0964344742,1476273.4929119102,1467198.9573973345,1475962.647379728,1474632.219289504,1474407.56658071,1477785.1982177312,1478496.833580787,1481592.9006832049,1466295.3959309226,1468751.1562467269,1487545.2797179592,1485316.7355481267,1477666.8205650887
1600000.0,1583162.1844816972,1569831.8874401534,1576895.2120848738,1594470.5296478798,1578078.2402522657,1575904.6751792396,1573434.2157027444,1574316.8914707259,1569643.0268183409,1575161.6755294593,1572196.4407993075,1573343.3261229096,1579509.9093952614,1577774.0072502017,1581558.6356720715,1565314.402607354,1570261.7277763926,1589905.0588485668,1585353.7792691365,1577714.464264128
1700000.0,1678475.0632349767,1668624.3747602752,1672877.0801640758,1686767.4317109627,1676046.3469081023,1672279.3789163565,1671689.9699309852,1670227.683380624,1669300.2700819673,1671836.493037665,1667945.0144540188,1669986.702033226,1677639.3495945295,1674272.7626031362,1678213.7552006901,1662737.0433292268,1669133.5044204893,1687487.774003826,1681714.4600688035,1674779.81516839
1800000.0,1771713.9649349481,1765067.67434314,1767052.2805448782,1777469.452272335,1771213.7874295348,1766759.6224527538,1767468.2060350485,1764603.7331743694,1766281.2531313049,1766551.2541943833,1762431.6135415826,1764852.9272542486,1772760.5883108026,1768647.1718412836,1772319.9288989638,1758794.6659570076,1765582.0852301724,1781304.3454530064,1775304.590595318,1769473.411334828
1900000.0,1863852.745219391,1859723.8450495687,1860204.2871576333,1867745.1315898944,1864453.3290606376,1860105.7513287368,1861468.4581826928,1858139.2047795237,1861134.896425459,1860047.3779560965,1856275.0803116998,1858620.0244342864,1865805.1914552273,1861725.8107629484,1864845.6581615075,1853896.1410687293,1860185.875796634,1872680.803674959,1867220.72976873,1862635.6281238946
2000000.0,1955746.7150359012,1953309.4154102681,1953055.5679147663,1958439.2560644757,1956705.209912708,1953046.1911324062,1954495.1533519493,1951465.4338661816,1954628.60174856,1953056.7394795862,1950020.1083466227,1951957.535237013,1957775.6666292734,1954309.5934802657,1956729.685462958,1948507.9029602448,1953682.2546034788,1962918.3265635073,1958496.1729727008,1955116.9435266696
2100000.0,2047993.7805912269,2046518.8789475213,2046135.6932291067,2049973.4854754761,2048783.9164588181,2046139.0415246473,2047277.2240538476,2045033.331661903,2047546.1462028318,2046158.2863280869,2044035.5723252066,2045392.870366563,2049541.785854231,2047021.6231393942,2048711.7943344957,2043044.5178780318,2046786.1227061301,2053076.4959741274,2049927.521493855,2047612.196859757
2200000.0,2140857.507859544,2139888.7402566364,2139703.2857366274,2142323.0484157507,2141245.7534872517,2139685.4893256547,2140337.474779954,2139046.231175672,2140529.5967958933,2139685.0364214648,2138461.24541634,2139224.6695936928,2141702.411796284,2140211.996827081,2141225.2779159485,2137786.561251197,2140050.7839651094,2143839.0833582743,2141967.5573670976,2140550.736886506
2300000.0,2234263.729718556,2233710.548893465,2233732.5651594037,2235095.4705086364,2234317.840972084,2233705.0084129265,2233917.090513117,2233454.2857783623,2233971.8578625536,2233690.8791450514,2233213.558351622,2233493.4223809247,2234510.2628441565,2233926.195751055,2234356.0202242876,2232837.872434451,2233778.8125526514,2235447.699058448,2234687.849904191,2234048.5572155123
2400000.0,2327883.493793336,2328003.795064041,2327974.083732638,2327716.3305860357,2327901.1125444854,2327982.833312698,2327966.7526057726,2328017.1327605126,2327968.8223204683,2327988.15556367,2328053.6113005485,2328019.0581392306,2327872.0922046024,2327949.2848987146,2327883.1428652485,2328131.0562712625,2327993.595971972,2327720.772856935,2327828.4843286355,2327935.4897832675
2500000.0,2421292.135201461,2422559.322162013,2422081.513162055,2419675.9464387395,2421658.515136714,2422185.37486136,2422214.0678793434,2422423.603138237,2422344.6614497197,2422254.3328897506,2422702.4516020925,2422502.2186249164,2421437.6650008797,2421924.524918879,2421405.0418377654,2423481.979175772,2422482.729282754,2420178.975703087,2420940.045702307,2421861.516482727
2600000.0,2514159.5288244584,2517049.4204962584,2515769.357780166,2510753.7799298135,2515175.195945968,2516013.1944983983,2516297.569848743,2516433.9969013147,2516753.6863158415,2516180.9658369482,2516969.1121233674,2516662.89505537,2514766.138203201,2515516.747214679,2514522.4076573714,2518679.7692541108,2516910.004165656,2512262.402073046,2513585.9665339557,2515458.993624284
2700000.0,2606409.5377725996,2611175.531456408,2608951.0845938274,2601151.46962798,2608144.1121593965,2609342.966877129,2609929.396340559,2609999.5881812465,2610835.6359622413,2609618.1140631204,2610850.9339347677,2610372.8613887513,2607522.1691204677,2608568.72319738,2607020.4912425242,2613585.216506551,2610966.7105537867,2603575.009308218,2605540.6051463145,2608510.6228237017
2800000.0,2698303.5183692263,2704806.5080659906,2701817.085352859,2691516.214106926,2700516.664209639,2702315.435929999,2703034.186443145,2703324.9758680835,2704375.7558769635,2702669.6814530743,2704578.305633665,2703741.366574088,2699637.534027552,2701202.435753038,2698993.3003169172,2708206.8926455686,2704514.0071261367,2694074.7113672877,2696920.91418232,2701069.9430795065
2900000.0,2790437.4563787957,2798065.1145942453,2794838.1642260156,2782875.577374467,2792576.7363210926,2795350.681726089,2795823.909923221,2796862.1718836995,2797418.5182724455,2795717.692754581,2798596.743241247,2797134.2064378774,2791393.11403077,2793843.2329271277,2790882.179137959,2802733.508704787,2797672.6484098523,2784160.6692806953,2788224.820101511,2793504.819568169
3000000.0,2883665.4656637567,2891343.68947129,2888701.5239150114,2876504.2796060336,2884930.293804388,2889094.8867754927,2888796.2066626544,2891243.1935323584,2890306.611183646,2889377.346668287,2893493.739049445,2891127.776134215,2883412.5595045416,2887170.8026689915,2883433.158381773,2897516.1587614063,2890840.3125228034,2874659.345747443,2880284.5664061983,2886463.6406484745
